query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection
query_1,TRUE,3.3586571220930197e-15,74,165,27,0.16363636363636364,0.36486486486486486,CORUM:306,CORUM,"Ribosome, cytoplasmic",3383,183,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPL22,RPS21,RPL19,RPL10,RPL9,RPL8,RPL18A,RPS20,RPL27A,RPS19,RPLP2,RPL30,RPS17,RPS4X,RPL17,RPS14,RPL15,RPL4,RPL10A,RPSA,RPS7,RPS8,RPL18,RPS9,RPS18,RPL14,RPLP1"
query_1,TRUE,2.356265345150158e-11,93,165,26,0.15757575757575756,0.27956989247311825,CORUM:3055,CORUM,Nop56p-associated pre-rRNA complex,3383,1362,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPL22,RPL19,RPL10,RPL9,RPL8,RPL18A,RPL27A,RPLP2,RPL30,RPS17,RPL17,RPS14,RPL15,HNRNPU,HNRNPM,RPL4,RPL10A,RPS7,RPS8,RPL18,YBX1,RPS9,RPS18,RPL14,ILF2,RPLP1"
query_1,TRUE,1.8292158426379826e-8,43,165,16,0.09696969696969697,0.37209302325581395,CORUM:308,CORUM,"60S ribosomal subunit, cytoplasmic",3383,184,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPL22,RPL19,RPL10,RPL9,RPL8,RPL18A,RPL27A,RPLP2,RPL30,RPL17,RPL15,RPL4,RPL10A,RPL18,RPL14,RPLP1"
query_1,TRUE,1.8718049788405572e-5,29,165,11,0.06666666666666667,0.3793103448275862,CORUM:338,CORUM,"40S ribosomal subunit, cytoplasmic",3383,199,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPS21,RPS20,RPS19,RPS17,RPS4X,RPS14,RPSA,RPS7,RPS8,RPS9,RPS18"
query_1,TRUE,4.205815479421557e-5,31,165,11,0.06666666666666667,0.3548387096774194,CORUM:305,CORUM,"40S ribosomal subunit, cytoplasmic",3383,182,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPS21,RPS20,RPS19,RPS17,RPS4X,RPS14,RPSA,RPS7,RPS8,RPS9,RPS18"
query_1,TRUE,9.706760949589645e-5,21,165,9,0.05454545454545454,0.42857142857142855,CORUM:5380,CORUM,"TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",3383,1658,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPL19,RPL18A,RPLP2,RPL30,RPL15,RPL10A,EIF6,RPL14,RPLP1"
query_1,TRUE,8.974904099472549e-4,20,165,8,0.048484848484848485,0.4,CORUM:1332,CORUM,Large Drosha complex,3383,734,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","TAF15,FUS,HNRNPU,HNRNPM,TARDBP,RALY,ILF2,DDX3X"
query_1,TRUE,0.028721961497334688,77,165,13,0.07878787878787878,0.16883116883116883,CORUM:1181,CORUM,C complex spliceosome,3383,659,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","CDC5L,SF3B2,SF3A3,SNRPA1,SNRPG,PRPF19,HNRNPU,HNRNPM,LSM3,LSM2,SF3A2,RBM8A,RALY"
query_1,TRUE,0.04118250485623114,138,165,18,0.10909090909090909,0.13043478260869565,CORUM:351,CORUM,Spliceosome,3383,205,,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","CDC5L,SNRPC,NUDT21,SF3B2,SF3A3,SNRPA1,PUF60,SNRPG,LUC7L3,PRPF19,LSM3,SRSF11,LSM2,SF3A2,RBM8A,PPM1G,DDX3X,LSM4"
query_1,TRUE,0.0495754641336209,3,165,3,0.01818181818181818,1,CORUM:1173,CORUM,TIP49-TIP48-BAF53 complex,3383,652,,"CORUM,CORUM,CORUM","RUVBL1,ACTL6A,RUVBL2"
