query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection
query_1,TRUE,0.03308590952893593,7,70,3,0.04285714285714286,0.42857142857142855,CORUM:61,CORUM,Mi2/NuRD complex,3383,29,,"CORUM,CORUM,CORUM","RBBP7,HDAC1,MTA2"
query_1,TRUE,0.049900071356854106,2,70,2,0.02857142857142857,1,CORUM:6826,CORUM,Calprotectin heterotetramer,3383,2399,,"CORUM,CORUM","S100A9,S100A8"
query_1,TRUE,4.358170512223044e-8,235,232,21,0.09051724137931035,0.08936170212765958,GO:0030198,GO:BP,extracellular matrix organization,16178,6944,,"NAS,IMP IBA NAS,IMP ISS IBA NAS,IBA,IBA TAS,IBA,TAS,IMP IBA NAS,IDA TAS,NAS,IBA TAS,IMP,TAS,IBA,IMP NAS,IMP IBA NAS,IBA,IBA NAS,IDA,ISS,ISS","COL12A1,COL5A1,COL5A2,POSTN,MMP1,CCDC80,NID2,COL1A2,CTSG,LAMB2,MMP2,QSOX1,ELANE,SERPINH1,LAMC1,COL1A1,COL15A1,COL4A2,AEBP1,HMCN1,LTBP4"
query_1,TRUE,4.7238404631055254e-8,236,232,21,0.09051724137931035,0.08898305084745763,GO:0043062,GO:BP,extracellular structure organization,16178,10859,,"NAS,IMP IBA NAS,IMP ISS IBA NAS,IBA,IBA TAS,IBA,TAS,IMP IBA NAS,IDA TAS,NAS,IBA TAS,IMP,TAS,IBA,IMP NAS,IMP IBA NAS,IBA,IBA NAS,IDA,ISS,ISS","COL12A1,COL5A1,COL5A2,POSTN,MMP1,CCDC80,NID2,COL1A2,CTSG,LAMB2,MMP2,QSOX1,ELANE,SERPINH1,LAMC1,COL1A1,COL15A1,COL4A2,AEBP1,HMCN1,LTBP4"
query_1,TRUE,5.118080794773713e-8,237,232,21,0.09051724137931035,0.08860759493670886,GO:0045229,GO:BP,external encapsulating structure organization,16178,11733,,"NAS,IMP IBA NAS,IMP ISS IBA NAS,IBA,IBA TAS,IBA,TAS,IMP IBA NAS,IDA TAS,NAS,IBA TAS,IMP,TAS,IBA,IMP NAS,IMP IBA NAS,IBA,IBA NAS,IDA,ISS,ISS","COL12A1,COL5A1,COL5A2,POSTN,MMP1,CCDC80,NID2,COL1A2,CTSG,LAMB2,MMP2,QSOX1,ELANE,SERPINH1,LAMC1,COL1A1,COL15A1,COL4A2,AEBP1,HMCN1,LTBP4"
query_1,TRUE,1.0504186625509688e-5,1199,232,44,0.1896551724137931,0.03669724770642202,GO:0007155,GO:BP,cell adhesion,16178,2750,,"IBA NAS,IMP,IDA IMP IGI ISS IBA,IDA IMP IBA TAS,IMP IBA,IDA IBA,IDA IBA,IDA ISS,IBA,IDA,IMP,IDA,IBA,IDA,IDA IBA,IBA TAS,TAS,IDA,NAS,ISS,IDA TAS NAS,IDA IMP,IBA,IMP IBA,IMP IBA,IDA NAS,IDA IBA,IBA,IDA IBA TAS,TAS,IMP,HMP,IMP ISS IBA TAS,IDA IMP IBA,IMP IBA TAS,IMP IBA TAS,IBA,IDA IMP IBA,NAS,IBA,IBA,IDA,IMP TAS,IMP IBA TAS","PKP1,CSTA,JUP,PTPRF,COL5A1,POSTN,S100A9,RCC2,FBLN2,FBLN1,ATP2C1,IGFBP2,CCDC80,TFRC,DLG1,NID2,VCAN,CTSG,LAMB2,TPM1,THBS1,PRKCA,SPON1,ITGA6,CTNND1,LAMC1,S100A8,PTK7,TNC,HSPH1,CRKL,HSPB1,ALCAM,GPNMB,ITGA7,ITGA11,HMCN1,DSG2,SMARCC1,PKP3,PALLD,BST1,AKT1,DSC2"
query_1,TRUE,0.0020586177933307292,1201,232,39,0.16810344827586207,0.0324729392173189,GO:0016477,GO:BP,cell migration,16178,5292,,"ISS,IMP IGI,IMP,IMP,IMP,IDA IBA,ISS,IDA,IDA,IMP,IDA,IDA,IMP ISS,IDA IMP ISS,IDA IMP,IMP IBA,IMP,IDA IBA,ISS,IDA,IMP,NAS,IBA,IDA ISS,IMP IBA,IMP,IBA TAS,IMP,NAS,IMP,IDA,IBA,IMP,IMP,IDA TAS,NAS,IDA IMP TAS NAS,IBA,IDA IMP","KRT5,JUP,PTPRF,COL5A1,PFN2,S100A9,RCC2,FBLN1,SPARC,GJA1,VCAN,CTSG,TPM1,THBS1,PRKCA,ITGA6,LAMC1,S100A8,DPYSL3,COL1A1,PTK7,TNC,PRCP,KRT16,CRKL,SERPINB3,S100A12,HSPB1,RBBP7,PRTN3,GPNMB,ITGA7,ITGA11,PKN1,BST1,HDAC1,AKT1,CD248,MIF"
query_1,TRUE,0.002404334195955088,7,232,4,0.017241379310344827,0.5714285714285714,GO:0002934,GO:BP,desmosome organization,16178,1449,,"IDA IMP,IMP,IMP,IMP","JUP,PRKCA,DSG2,PKP3"
query_1,TRUE,0.004818483918791243,741,232,28,0.1206896551724138,0.037786774628879895,GO:0098609,GO:BP,cell-cell adhesion,16178,19347,,"IBA,IMP,IDA IMP ISS IBA,IDA IMP IBA,IDA IBA,IMP,IDA,IDA,IDA IBA,IDA,IDA,IBA,IMP IBA,IDA IBA,IBA,TAS,HMP,IMP,IDA IMP,IMP IBA,IBA,IBA,IDA IMP IBA,NAS,IBA,IBA,IMP TAS,IMP IBA","PKP1,CSTA,JUP,PTPRF,S100A9,ATP2C1,IGFBP2,TFRC,DLG1,CTSG,PRKCA,ITGA6,CTNND1,S100A8,PTK7,HSPH1,HSPB1,ALCAM,GPNMB,ITGA7,ITGA11,HMCN1,DSG2,SMARCC1,PKP3,PALLD,AKT1,DSC2"
query_1,TRUE,0.009670647306379947,168,232,12,0.05172413793103448,0.07142857142857142,GO:0043588,GO:BP,skin development,16178,11149,,"IBA,IDA,ISS,IMP,IMP ISS IBA,IMP,IMP,ISS,IMP IBA,IEP,ISS,ISS","KRT5,CSTA,KRT17,COL5A1,COL5A2,COL1A2,ITGA6,SFN,COL1A1,AKR1C3,KRT16,HDAC1"
query_1,TRUE,0.011610542900248934,50,232,7,0.03017241379310345,0.14,GO:0030199,GO:BP,collagen fibril organization,16178,6945,,"NAS,IMP IBA NAS,IMP ISS NAS,IMP NAS,IBA,IMP NAS,IDA","COL12A1,COL5A1,COL5A2,COL1A2,SERPINH1,COL1A1,AEBP1"
query_1,TRUE,0.01809622503423908,1365,232,40,0.1724137931034483,0.029304029304029304,GO:0048870,GO:BP,cell motility,16178,13538,,"ISS,IMP IGI,IMP,IMP,IMP,IDA IBA,ISS,IDA,IDA,IMP,IDA,IDA,IMP ISS,IDA IMP ISS,IDA IMP,IMP IBA,IMP,IDA IBA,ISS,IDA,ISS,IMP,NAS,IBA,IDA ISS,IMP IBA,IMP,IBA TAS,IMP,NAS,IMP,IDA,IBA,IMP,IMP,IDA TAS,NAS,IDA IMP TAS NAS,IBA,IDA IMP","KRT5,JUP,PTPRF,COL5A1,PFN2,S100A9,RCC2,FBLN1,SPARC,GJA1,VCAN,CTSG,TPM1,THBS1,PRKCA,ITGA6,LAMC1,S100A8,DPYSL3,COL1A1,INTS13,PTK7,TNC,PRCP,KRT16,CRKL,SERPINB3,S100A12,HSPB1,RBBP7,PRTN3,GPNMB,ITGA7,ITGA11,PKN1,BST1,HDAC1,AKT1,CD248,MIF"
query_1,TRUE,0.019866883458713767,4,232,3,0.01293103448275862,0.75,GO:0002159,GO:BP,desmosome assembly,16178,728,,"IDA IMP,IMP,IMP","JUP,PRKCA,PKP3"
