name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A136_T,A137_T,A139_T,A141_T,A142_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A142_N,A143_N,A146_N,A147_N,A148_N,A153_N
ENSG00000125841,NRSN2,1010.7,963,47.7,0.05,-4.3,6.7e-19,0,0,0,1016,966,1041,742,760,1287,834,773,1292,919,51,39,56,51,49,38,45,54,43,51
ENSG00000100320,RBFOX2,471.8,467.3,4.5,0.01,-6.7,1.2e-18,0,0,0,463,449,363,376,459,464,563,480,615,441,4,5,4,6,2,3,5,2,7,7
ENSG00000182704,TSKU,1466.5,1466.2,0.3,0,-11.7,2.2e-18,0,0,0,787,1155,2382,1403,1243,1350,1034,1299,2653,1356,1,0,0,1,0,1,0,0,0,0
ENSG00000169604,ANTXR1,4023.4,4023.1,0.3,0,-13.2,2.8e-18,0,0,0,3433,4569,951,5631,5985,2599,5831,4017,3468,3747,1,0,0,1,0,0,0,1,0,0
ENSG00000149115,TNKS1BP1,6197.9,5893.3,304.6,0.052,-4.3,3.3e-18,0,0,0,5993,5758,7410,5079,4193,6246,5134,4112,6466,8542,291,282,413,212,333,289,336,324,260,306
ENSG00000130158,DOCK6,3272.6,3230.1,42.5,0.013,-6.2,3.4e-18,0,0,0,3468,5366,2404,3357,2269,3484,3307,3629,2475,2542,48,60,33,47,39,20,37,48,63,30
ENSG00000050820,BCAR1,2483,2481.7,1.3,0.001,-10.7,6.1e-18,0,0,0,2615,4399,1400,2997,2175,2192,2142,2327,2680,1890,4,4,0,0,1,1,0,1,2,0
ENSG00000128849,CGNL1,884,883.7,0.3,0,-11,6.8e-18,0,0,0,679,1404,740,707,652,836,1514,883,531,891,0,0,0,0,0,1,0,1,0,1
ENSG00000118898,PPL,2165.7,2154.9,10.8,0.005,-7.6,1.3e-17,0,0,0,3093,1172,2233,1761,1586,3099,1682,2664,1025,3234,12,14,6,11,8,11,9,20,9,8
ENSG00000137693,YAP1,2494.3,2492,2.3,0.001,-10,1.6e-17,0,0,0,2629,1768,3631,1273,3155,2153,3236,2224,2744,2107,1,4,0,1,0,3,1,8,2,3
