protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
HBB,HBB,36675000,72975000,11731000,40666000,1706200,13028000,40409000,11383000,26891000,362330000,327180000,63406000,86523000,102010000,390660000,34020000,85719000,273950000
PSA,NPEPPS,45300000,16777000,151460000,28744000,479120000,43084000,165540000,153400000,79823000,16587000,9443100,20836000,25460000,26538000,10610000,37966000,59258000,49728000
FIBB,FGB,288190000,583500000,62848000,265540000,273910000,312160000,233560000,341960000,303270000,620420000,792260000,694130000,1612900000,1874600000,1591500000,631840000,850480000,463740000
HBA,HBA1;,415440000,160370000,255690000,206760000,75845000,134030000,295850000,117400000,311320000,1310900000,2251500000,557800000,831540000,784460000,1202600000,282730000,327990000,819800000
EHD2,EHD2,136870000,14139000,144440000,40263000,66744000,152690000,217550000,136870000,129840000,435710000,219890000,951350000,434050000,443970000,233920000,490030000,1072000000,674750000
FIBG,FGG,247650000,332070000,55156000,251050000,276730000,351800000,228970000,347600000,275700000,390490000,639930000,642760000,1348800000,1709500000,1388800000,600920000,797610000,547800000
LDHA,LDHA,254910000,166830000,427290000,213240000,1094700000,355470000,176820000,290230000,1243900000,41790000,13627000,94451000,96047000,99106000,11532000,201600000,107410000,49741000
NDRG1,NDRG1,183900000,43336000,120100000,55074000,356910000,162610000,114660000,92286000,850180000,19727000,24515000,42648000,119750000,33338000,11323000,88482000,81583000,49155000
EPB42,EPB42,12032000,15077000,3891500,9569800,1266700,3676800,7158100,5730800,2484000,31490000,65711000,50458000,25886000,66409000,73758000,30826000,29570000,50059000
MA2A1,MAN2A1,1226400,1870100,2349600,4603700,39919000,2181700,10343000,9636900,35583000,92472,754590,1789700,6334900,2368700,187520,4771000,529150,625990
GLYM,SHMT2,23850000,11215000,29410000,13774000,60503000,18437000,25511000,53689000,211780000,6552500,4734800,18611000,12354000,22479000,5023500,28925000,15540000,9670400
ERO1A,ERO1A,56978000,104610000,91006000,53262000,355230000,89785000,103130000,141610000,161480000,7169400,2571900,12017000,19623000,32842000,159850000,70207000,24951000,31603000
PLOD1,PLOD1,6241400,4978000,7872400,4848700,38897000,7327900,13979000,23744000,29130000,1144500,115080,3032900,2882500,8128700,NA,14336000,3515500,1021000
HNRPF,HNRNPF,43288000,6740200,74416000,20999000,168510000,25623000,81282000,47952000,131980000,12481000,5815700,17795000,17002000,39096000,6234800,39167000,33561000,14081000
LAP2B,TMPO,11471000,380860,15721000,5056300,32400000,7810700,24165000,25971000,37271000,3560700,1722900,927830,1263600,7327300,1141600,4386700,3951300,1999300
PCBP2,PCBP2,30043000,16111000,152360000,29309000,224520000,43138000,109950000,70550000,239650000,28381000,7245900,6746200,43535000,26650000,10842000,68535000,61422000,37527000
OAS3,OAS3,7786100,2310300,8015500,3894000,12254000,4827200,8397500,20841000,31729000,1455200,403230,3232800,2247800,11324000,458110,3386600,4074200,2110000
CAVN2,CAVIN2,14462000,6344500,14394000,3100800,25998000,8948800,32126000,11037000,23946000,72671000,22881000,82198000,24545000,84319000,76393000,56518000,113440000,94432000
PPM1G,PPM1G,6202600,13998000,10229000,4583300,59826000,6012400,21275000,41181000,56089000,9172600,3312800,2631400,13437000,6316200,3967600,3118600,6387400,10713000
GALK1,GALK1,23777000,4062100,32431000,14207000,76623000,26906000,49864000,34854000,124520000,5898400,3782600,9892900,11306000,14963000,4546300,20279000,12914000,11308000
MZB1,MZB1,36659000,91464000,426220000,717900000,128630000,318660000,114630000,863640000,1046300000,7336500,13914000,93677000,166590000,55919000,10933000,48465000,43150000,10869000
RAGE,AGER,221380000,1862900,29438000,13981000,1581200,20613000,163340000,73461000,230010000,1218600000,530060000,1446000000,763900000,210340000,229050000,154370000,1136500000,1141800000
TOM40,TOMM40,14782000,14672000,31076000,7488900,159550000,31023000,66705000,48174000,81669000,2796500,660850,13287000,13608000,12249000,1674300,39310000,13970000,7787900
PTBP3,PTBP3,6115900,1818800,12320000,4406400,29124000,10779000,20427000,21659000,40900000,1599000,1325100,12674000,2574300,6310100,1421400,4285600,5206600,2928100
RAVR1,RAVER1,7625600,3910300,14328000,5975000,42150000,10236000,14161000,14431000,46104000,1910000,478960,4856300,5793000,4681000,NA,10072000,3881100,3756800
H12,H1-2,158390000,112320000,50224000,53584000,182700000,289220000,33573000,75054000,26401000,119290000,14252000,812360,27263000,451050,1224800,701360,703310,NA
RRAS,RRAS,11368000,3736400,22414000,7162400,24623000,35282000,22986000,18784000,14425000,65120000,38996000,99465000,54138000,64888000,46463000,56384000,107090000,74731000
RS4X,RPS4X,72434000,9556200,111410000,35766000,268810000,74973000,62476000,129150000,345440000,18256000,3343100,60326000,44587000,32362000,6859100,40061000,54807000,30019000
SPSY,SMS,12994000,11870000,39637000,14598000,92353000,20359000,69826000,61657000,112940000,3000800,922640,3668500,8616000,9904900,249530,19289000,9292100,7499500
K2C4,KRT4,598030,142720,543000,104790,192130,156740,959320,551490,NA,1408600,169020,1126800,4824500,537060,385280,1734900,6579300,1821200
COF1,CFL1,228800000,128180000,339850000,222020000,736950000,279570000,400040000,572600000,1028700000,166890000,67495000,128350000,158870000,210230000,42677000,124460000,88766000,73524000
GGT5,GGT5,8050900,11852000,114300000,13030000,37902000,99541000,17356000,37623000,26335000,3020300,247650,21713000,19306000,12827000,1032600,13421000,18815000,2526500
PSMD4,PSMD4,20466000,2031500,51320000,10431000,90906000,12455000,42135000,62371000,88372000,11453000,5812300,3267600,8958100,18379000,5289800,12791000,9680300,5051300
RL10A,RPL10A,81842000,15582000,152570000,44036000,230870000,56410000,117630000,165990000,207660000,26965000,8744800,20306000,32261000,97977000,3994000,37825000,26061000,6851500
S10A6,S100A6,1251500000,242300000,71760000,866250000,9853800000,1972700000,3349100000,1767000000,3203500000,921290000,614550000,194080000,1188400000,323510000,447590000,729500000,1324100000,922700000
HMOX2,HMOX2,8010800,8355600,24655000,6643800,49436000,17452000,35283000,23587000,73733000,3554500,806390,7274100,6443200,17861000,858760,26450000,9814500,5685100
YBOX3,YBX3,8921300,449770,14375000,1510600,27004000,7038000,10091000,19569000,7022100,1282300,480070,4229800,2024500,5364400,1152400,3941100,4592100,1654100
PSME2,PSME2,62156000,72835000,324220000,72782000,303120000,117010000,261350000,281360000,249850000,25498000,9773200,105300000,54158000,66594000,22429000,86697000,106660000,74706000
CAH3,CA3,5950400,6149200,108030000,7945400,10584000,927310000,19539000,14335000,17458000,70506000,17501000,47485000,44348000,45935000,32708000,12169000,24196000,17111000
DNJA2,DNAJA2,20125000,3046200,42814000,9971700,66142000,12667000,45245000,42650000,61084000,6714900,1412900,10852000,5306200,13864000,3878700,21610000,20220000,12797000
PGES2,PTGES2,5901000,2782900,32224000,5917700,28499000,5962700,39855000,19643000,41789000,2726700,303270,3090900,5370900,8321500,364040,14041000,8595600,3453900
ST1A1,SULT1A1,4883000,969740,2240000,942120,28999000,5913100,5398900,7311800,7975800,19023000,4698000,24113000,18311000,58081000,7746400,35855000,50086000,11299000
OLFM4,OLFM4,5201700,78544000,14067000,54003000,13790000,10453000,10826000,17275000,34765000,4171400,1891600,3983400,5917500,6792400,3658800,12031000,7341400,5903100
SF01,SF1,17972000,4908900,33365000,8497000,75665000,17483000,21687000,19377000,88172000,2534700,2649600,7068900,8508300,6739300,4048600,5918300,29504000,3773100
CYBP,CACYBP,52450000,12104000,53555000,12113000,155920000,24926000,92809000,63253000,121740000,15708000,2944600,18086000,14108000,27866000,3592600,27040000,18178000,14707000
NUP54,NUP54,3194800,5167100,3258100,2349400,12344000,2807100,4241500,5049500,9671500,557900,NA,1239400,2211800,2025100,164840,1997900,1167100,773840
PMGE,BPGM,30650000,35559000,10451000,30501000,18618000,14218000,26438000,24519000,22516000,74750000,90676000,84298000,55755000,93964000,99528000,49708000,48940000,80637000
ERLEC,ERLEC1,4498900,1797000,20514000,8857900,14683000,7639400,9403000,6473000,23991000,350730,166830,2291400,4239600,5987800,95264,8749800,4410000,988960
PSPC1,PSPC1,9612100,3787000,27371000,6747200,56164000,12376000,14693000,25049000,53632000,2313200,349090,5259000,6358800,8393400,1019600,8540800,6293000,5397800
TM165,TMEM165,42339000,15498000,25750000,16718000,62511000,20702000,52863000,46129000,77493000,1965100,522380,10191000,5736100,13773000,687830,23224000,10547000,4803500
CMPK2,CMPK2,4735100,6545300,5200700,2443000,3751500,9091100,5607200,8076300,12066000,4552000,297620000,9005700,7651100,5115100,11896000,3542100,4787400,4267100
CAPR1,CAPRIN1,23378000,14130000,38344000,16062000,97418000,21377000,35686000,55286000,93967000,6966800,838380,15850000,16315000,18749000,2464300,24307000,18880000,10049000
NQO1,NQO1,4411100,17018000,746010,69913000,13201000,31671000,150250000,30560000,7172400,1993900,951220,3221600,9243000,6087400,5194000,31333000,7901800,2949500
LRC59,LRRC59,37020000,35255000,140680000,39822000,274090000,54456000,120150000,78329000,246570000,9227400,2410000,19548000,20465000,31227000,7512600,78811000,35524000,18148000
PSB9,PSMB9,20893000,16246000,33515000,12826000,55000000,30497000,43181000,53848000,87628000,5673000,1133500,28002000,11069000,21743000,1506100,15460000,13919000,9633000
UFD1,UFD1,4913100,2681900,12511000,5275200,30226000,8271300,12420000,17563000,22154000,2399800,2060200,3278100,7649100,5279200,740230,5370000,4520300,1968100
NDKB,NME2,58742000,42449000,326260000,72100000,698840000,73666000,146110000,54594000,333380000,45747000,18099000,55698000,58296000,100480000,25261000,90851000,81990000,36186000
RBM4,RBM4,6363400,133990,7907200,4602200,30751000,3338200,12947000,17288000,29580000,1938400,443990,1431400,2472000,3009700,586660,1592200,4140400,2096000
YBOX1,YBX1,46002000,7531400,77599000,10305000,172250000,32378000,78108000,105880000,126550000,6678800,3117000,25022000,10756000,33717000,7468900,30363000,31486000,9410200
FHL2,FHL2,13376000,3237000,46418000,19626000,8974100,37889000,21041000,31404000,19449000,1755800,NA,3311600,6287100,1047800,95677,4382900,2463900,686500
CD36,CD36,15326000,1307500,21180000,3344600,5265600,15741000,10579000,8015300,8612600,28734000,30141000,69606000,42859000,29086000,36430000,40933000,170970000,139880000
NNMT,NNMT,29514000,29727000,200160000,42964000,78267000,79760000,47002000,167880000,164840000,15518000,4365100,12732000,18752000,26908000,9117100,71469000,33190000,15093000
CSTF1,CSTF1,3254000,337330,14527000,2893500,16472000,19110000,12597000,12522000,13395000,3852000,NA,1838000,1445200,5425000,2113700,2126800,3839500,2545700
TADBP,TARDBP,51819000,4269600,92599000,20123000,158650000,62415000,75201000,93925000,184150000,21300000,8415200,12642000,38857000,15799000,9738200,56156000,42496000,28161000
CHRD1,CHORDC1,10137000,2502600,12309000,6508200,63503000,7183700,16672000,22575000,31874000,3569700,1831400,5600100,6600300,6640700,1562400,5230600,6796800,4052500
TCTP,TPT1,8463100,2555100,42595000,26344000,62587000,33364000,26353000,57362000,71063000,2437100,529720,1282400,7683800,5906800,1422200,22318000,7945600,4425400
RS8,RPS8,48360000,5632000,94211000,32335000,201910000,28382000,84943000,107980000,191930000,17490000,21988000,37959000,15984000,18226000,39041000,23132000,23820000,25818000
