protein,gene,A133_T,A134_T,A140_T,A144_T,A152_T,A133_N,A134_N,A140_N,A144_N,A152_N
CO3A1,COL3A1,6016200,6130500,10956000,9212500,5311700,496860,1677100,189090,638070,88897
CO1A2,COL1A2,6011600,3309100,4222900,5318500,1025200,144650,1311300,643950,1395100,534810
HNRPM,HNRNPM,54901000,76483000,158910000,182950000,177610000,23304000,64065000,19077000,55699000,32751000
HBB,HBB,4093600,2883000,1652000,2021300,890900,185450000,104690000,108670000,13077000,67682000
HBA,HBA1;,163000000,152460000,67170000,36342000,31802000,2557300000,316480000,1194900000,249290000,359920000
ENOA,ENO1,971080000,1874600000,4116300000,2561600000,2214900000,266970000,680190000,255140000,670070000,763630000
FIBG,FGG,214040000,159430000,307200000,243430000,346070000,177600000,356940000,1461400000,1056000000,933720000
EHD1,EHD1,31199000,19335000,37266000,29214000,27450000,51552000,99545000,72893000,78470000,167300000
LIMC1,LIMCH1,2002900,2589300,1146400,1174700,1933400,4460700,23907000,3085000,16958000,12965000
6PGD,PGD,173230000,192320000,2307700000,449110000,250690000,45580000,130170000,53152000,120520000,103030000
SF3B2,SF3B2,26659000,30008000,48310000,71919000,78690000,5216600,13678000,4801100,17571000,22167000
PLAK,JUP,39698000,36961000,43317000,111900000,97703000,9432400,12353000,8912600,13745000,12774000
CATA,CAT,110590000,102330000,61707000,77119000,83319000,329410000,384470000,188060000,322130000,348860000
POSTN,POSTN,84713000,73545000,181310000,144390000,79615000,NA,60920000,4080000,15746000,18811000
ALDOA,ALDOA,637200000,995520000,1690400000,1168200000,1947800000,174120000,588270000,174120000,502490000,519400000
NASP,NASP,8534600,21575000,43752000,20266000,121570000,1387700,10347000,13790000,8550600,9288900
DSG2,DSG2,1792800,6841000,6794500,5721000,23132000,NA,986230,1265600,898640,1348200
TCPE,CCT5,86510000,102200000,143520000,134390000,243390000,21964000,61389000,27646000,55463000,53140000
FBLN2,FBLN2,51734000,89469000,121200000,208470000,109570000,6038600,55834000,6990800,24250000,19740000
NDRG1,NDRG1,186790000,270340000,263780000,1316500000,446920000,19612000,92839000,28425000,83371000,113880000
NAMPT,NAMPT,155030000,83290000,765750000,366370000,181090000,12321000,57641000,19334000,47483000,58266000
AL1L2,ALDH1L2,12042000,7988700,32911000,12043000,10966000,831720,3519500,785010,5622700,5468800
4F2,SLC3A2,13969000,19057000,183940000,45997000,32840000,2105900,13882000,8905700,9219800,8528400
SFPQ,SFPQ,51501000,71687000,112940000,121670000,120110000,8240000,37422000,7244600,38318000,26028000
PDIA6,PDIA6,278280000,326280000,441930000,432790000,701270000,27583000,113800000,39416000,172870000,106180000
HBD,HBD,1129500000,1200700000,614270000,467280000,598510000,5460600000,2595800000,5607400000,4138900000,2678600000
RCC2,RCC2,16165000,55809000,136540000,47167000,54527000,1801500,15488000,3513600,14634000,10727000
SUSD2,SUSD2,6327800,20643000,4505100,1740100,97801000,49783000,151660000,50647000,91104000,139310000
FSCN1,FSCN1,100800000,80660000,224090000,201660000,149810000,27763000,70810000,27048000,53959000,53330000
CAH1,CA1,235440000,311260000,202330000,110410000,113020000,1130500000,404840000,1361400000,811100000,508520000
ALDOC,ALDOC,61840000,82143000,122310000,179570000,206300000,12687000,24858000,11793000,22131000,41383000
ACAP2,ACAP2,1954900,3204800,2711300,4065200,3274500,167830,930630,155200,1112600,432730
RUVB1,RUVBL1,79230000,42169000,90563000,39338000,132390000,9322200,13081000,9729600,17552000,11928000
GLYM,SHMT2,16235000,31435000,90705000,44598000,104960000,1219200,6625800,11862000,16012000,13218000
CAVN1,CAVIN1,50601000,33637000,43861000,57252000,75718000,173070000,218830000,185310000,176940000,366240000
IPO7,IPO7,8866300,10632000,21507000,11470000,42331000,1969100,6136900,NA,3950700,6851300
AK1C3,AKR1C3,43797000,9635600,211320000,964640000,3075200,5503500,42156000,5782800,33205000,28165000
TTL12,TTLL12,30543000,21020000,40072000,50619000,65697000,3903600,13937000,3171600,7083600,5688800
PGM5,PGM5,5292900,1465000,808940,330190,766980,8495500,25829000,9233900,14081000,35946000
F16P1,FBP1,37563000,37692000,47333000,73078000,23439000,56122000,340110000,52126000,131250000,174790000
MAOM,ME2,46919000,48665000,58055000,66589000,98765000,3859100,24072000,7069700,38972000,25886000
ERO1A,ERO1A,62419000,61469000,113240000,154770000,89721000,7240700,34867000,4816400,26463000,15038000
DLG1,DLG1,7029600,8074200,16279000,26435000,12284000,983920,5341100,657200,3984700,5667700
CBR1,CBR1,94993000,50630000,901520000,850570000,121810000,41679000,119330000,43461000,79760000,108340000
SRPRA,SRPRA,4452900,9166800,11798000,21175000,15398000,78093,2671000,963990,9734700,2939300
SF3A3,SF3A3,15656000,17748000,26782000,35902000,40738000,2814800,8499100,3436200,12224000,10336000
MX1,MX1,18258000,4036800,6518600,11855000,10107000,607820,1597100,1033800,5211300,3742300
NONO,NONO,44904000,58969000,112470000,164670000,145280000,8579000,34863000,8692500,31898000,29186000
NPL4,NPLOC4,6261000,6384300,6307400,11845000,12988000,478330,2132700,1222900,3419700,3536100
UBP2L,UBAP2L,2256000,5620000,22757000,16768000,16422000,831310,1735400,1100700,3267800,5061400
CDC5L,CDC5L,6004100,6910000,15462000,11762000,16054000,918260,2451100,1642900,3015500,2344000
TPIS,TPI1,899150000,791140000,1639100000,2215300000,2143700000,200470000,671010000,204530000,555320000,768790000
RACK1,RACK1,190640000,183620000,405680000,322700000,391630000,38005000,104430000,30286000,108270000,119010000
FXR1,FXR1,4067400,12048000,26100000,21411000,17260000,3032300,4139800,3294600,3955500,3762000
UMPS,UMPS,10852000,18365000,19201000,23159000,35634000,1869200,6996400,5719000,5161000,6803300
PUF60,PUF60,33741000,42138000,83438000,59913000,103550000,4955400,25881000,5078600,25086000,30551000
EF1D,EEF1D,160670000,156230000,345370000,222360000,204500000,19741000,93262000,23622000,98045000,92611000
FBLN5,FBLN5,16875000,5221900,3560000,11453000,5491500,26641000,88042000,13992000,59011000,44458000
TBL1R,TBL1XR1,2281700,3054200,9719300,5294000,6303000,59404,831690,725620,2194400,2153200
MAP2,METAP2,5944800,6888100,30318000,23438000,21228000,3204500,5411500,1536000,4343000,10458000
RL4,RPL4,29819000,43834000,70578000,86569000,96684000,6110600,33663000,7150600,22979000,31574000
HMGB1,HMGB1,170570000,289860000,453990000,333060000,244840000,74814000,154220000,75612000,83270000,28314000
CAVN2,CAVIN2,2939600,828330,2287500,1246500,297560,26476000,45474000,33885000,39918000,42547000
GTR1,SLC2A1,22011000,81351000,142930000,286520000,313070000,31700000,43245000,37364000,40522000,43653000
RBBP4,RBBP4,53936000,76533000,107130000,80351000,108870000,12577000,36194000,11772000,31198000,37706000
GLRX3,GLRX3,18183000,14650000,41388000,34925000,32243000,5497400,11916000,4976500,12643000,8850800
PRP19,PRPF19,57276000,63789000,106530000,101670000,149550000,8913200,41101000,10819000,44857000,46171000
UCHL1,UCHL1,27279000,177780000,1906000000,192880000,142900000,4052300,25665000,8772000,28651000,18611000
CLIC2,CLIC2,35229000,18447000,27862000,11698000,9719800,38275000,91443000,47113000,89539000,122410000
RS4X,RPS4X,30281000,33790000,112420000,88289000,107120000,7839000,19156000,5214600,26504000,27973000
STT3A,STT3A,12913000,14801000,20241000,19091000,25121000,1559100,6417000,1140000,5472000,7904000
PYRG1,CTPS1,4234600,9754600,16292000,8780400,31765000,884560,6478300,1337700,3066900,4673900
RBBP7,RBBP7,9692000,31826000,22983000,37086000,62043000,3382000,16757000,2691500,10960000,12075000
RCN2,RCN2,6668800,34218000,31627000,16823000,116290000,3667700,7551000,2423400,10953000,12214000
RRAS,RRAS,7046600,3448900,4075200,4420100,1719600,18123000,40914000,14434000,34635000,46749000
MAP11,METAP1,14146000,11520000,67196000,20619000,19222000,79229,4802000,NA,3570100,3519900
S10A9,S100A9,638460000,583820000,145120000,143500000,132490000,33139000,80497000,48214000,221750000,104110000
MIME,OGN,29813000,4745900,9929300,12556000,13600000,9030300,83543000,54842000,188560000,28650000
RL10A,RPL10A,41538000,53072000,187890000,98105000,158710000,15197000,72053000,16094000,20555000,20215000
G3BP1,G3BP1,30133000,34415000,54473000,63574000,58426000,5354000,17087000,4583200,15830000,17067000
PURA2,ADSS2,21391000,19905000,73447000,35692000,21686000,3534600,13814000,3811700,14910000,14104000
PCNA,PCNA,34161000,41469000,54572000,72771000,82586000,15822000,13134000,2576900,13387000,16443000
VDAC3,VDAC3,26717000,52891000,138230000,151440000,141410000,10600000,36185000,10517000,29663000,63025000
EF1B,EEF1B2,133500000,96642000,221910000,236720000,314660000,23151000,71068000,26160000,65796000,76887000
RBM14,RBM14,10082000,11252000,45320000,24305000,24838000,3405000,7900100,3797500,8991000,11023000
PRDX4,PRDX4,58937000,105590000,146840000,128780000,297790000,6979400,30776000,9180800,44435000,30768000
SRPRB,SRPRB,22851000,20136000,52064000,43069000,36439000,4293500,10709000,3723600,15820000,12113000
STML2,STOML2,15705000,17464000,35707000,39603000,79875000,4227400,17434000,5571500,13294000,16671000
CLIC5,CLIC5,415000,225880,178130,3417700,1642900,8987900,20388000,8736100,29675000,28774000
SODM,SOD2,512660000,293720000,915190000,843660000,595470000,72051000,208750000,77873000,271010000,352140000
CATH,CTSH,41516000,26410000,25393000,15121000,22101000,14617000,271770000,18261000,149830000,120060000
EIF3J,EIF3J,5713300,11485000,44475000,31754000,57085000,4785800,4378800,5066800,4017700,10103000
RCN3,RCN3,12047000,13666000,46381000,40298000,29619000,8093300,10269000,5356400,7792000,8529500
NUP54,NUP54,2211400,3734300,7731500,4481700,4836300,402460,1775500,526580,2048900,1987100
U2AF2,U2AF2,60757000,79110000,100620000,123340000,173550000,9777100,42978000,12716000,40646000,54891000
RAE1L,RAE1,3614200,5431700,14847000,8432700,12869000,633560,2122900,543110,3032100,3395600
YBOX3,YBX3,5410300,4535400,34318000,30773000,10272000,1116100,3163900,645830,2098700,1684900
FHL1,FHL1,23663000,10031000,7645400,5716400,2492400,81038000,363940000,78206000,278920000,281710000
PPM1G,PPM1G,762410,1131300,6376800,5203400,7080600,293170,1382500,309700,955190,1649900
FEN1,FEN1,4729000,5414700,3810000,10747000,21935000,403130,2424800,561010,2796100,2046900
HNRPD,HNRNPD,9726200,6801800,25284000,22165000,23416000,1094200,7873600,1896600,7044000,5624500
RU2A,SNRPA1,16426000,28810000,51014000,35906000,61187000,4472000,13610000,11846000,8118400,7897000
GGT5,GGT5,34909000,20124000,42254000,27218000,18849000,1129200,25643000,411000,10488000,7479500
TOM40,TOMM40,15185000,30599000,63753000,28891000,65295000,571450,13834000,5392600,7319000,13714000
MYG1,MYG1,5794500,8944200,16545000,9362100,20483000,1488500,3202400,1908000,1802300,6972400
SEC13,SEC13,81063000,66919000,166090000,143130000,98830000,12726000,45667000,4824500,45611000,43767000
NAPSA,NAPSA,65226000,53513000,31982000,18569000,30499000,47500000,912730000,22377000,197770000,226730000
CPSF5,NUDT21,18294000,26686000,49184000,48635000,63633000,5130500,13737000,4419500,10819000,14209000
S10A8,S100A8,2681000000,3531000000,1820900000,1597300000,1955200000,155330000,224250000,658140000,868940000,314740000
FUS,FUS,29703000,47109000,70973000,65571000,78408000,6413100,24513000,6151000,22803000,19169000
UBA5,UBA5,28538000,23070000,24787000,41642000,50792000,6454800,13546000,5187400,11640000,10040000
ACL6A,ACTL6A,13158000,19675000,26313000,22473000,27806000,2016800,7710000,3643200,6825500,8027100
NNMT,NNMT,118480000,80072000,81290000,141860000,73210000,6095500,27600000,3776100,24682000,34449000
CYBP,CACYBP,16851000,25726000,82975000,66006000,68592000,5402800,17617000,4617100,11954000,27167000
C1QBP,C1QBP,52309000,79577000,89543000,194380000,193180000,15419000,51100000,14877000,44623000,50126000
RLA2,RPLP2,134090000,204600000,485000000,370380000,524700000,51336000,93576000,30077000,72636000,122890000
UBC9,UBE2I,9592300,8521600,22879000,19498000,18483000,NA,4597600,503500,4980700,5603800
CD36,CD36,7025500,2199200,1896800,4004100,2826400,19516000,19752000,24040000,43743000,16863000
RET1,RBP1,16844000,72416000,86736000,51854000,42320000,13273000,16596000,3734500,10713000,14182000
UBE2K,UBE2K,5437000,8303900,25920000,10131000,12456000,1317500,427840,1376300,12157000,3923100
NDUV2,NDUFV2,25960000,20237000,27565000,24550000,32768000,3842000,9866900,1643700,10586000,11103000
MZB1,MZB1,433820000,152380000,485540000,357320000,775050000,6460300,6646100,15391000,29241000,32772000
EFTS,TSFM,6934000,7399900,24655000,12864000,25649000,788280,6280200,885100,2904800,2655700
LRC59,LRRC59,45681000,56561000,133250000,116150000,78884000,4179500,25475000,3833200,31423000,27886000
NT5D1,NT5DC1,8143700,9964400,6818700,17380000,25763000,1800900,6144200,1579500,4436100,7178600
CAPR1,CAPRIN1,25474000,24292000,48269000,43363000,49662000,3885700,13432000,4754200,12870000,15490000
CAD13,CDH13,969470,4297100,1369400,6428200,3574000,5167500,28630000,12292000,6099600,29953000
FACE1,ZMPSTE24,7570800,9250100,23395000,10574000,46723000,2188200,9470300,1467600,7475100,6148800
SET,SET,243720000,247250000,333620000,328450000,332890000,45620000,123200000,21059000,121020000,133780000
RS8,RPS8,8251900,9444800,55027000,47426000,56397000,3765300,5307800,2530200,12738000,10267000
TM165,TMEM165,17132000,18626000,50801000,45324000,65948000,928600,5665000,773630,4544300,7082100
TWF1,TWF1,7405600,7291100,28476000,16118000,19444000,1215700,5428600,1268300,6421700,7405300
RBM4,RBM4,2047300,4997500,15443000,15569000,13762000,1236000,2333600,1221800,2431100,2512300
ARF5,ARF5,13201000,7148100,17113000,19976000,27342000,2232800,6969500,3131100,6546300,7962700
S10AB,S100A11,179900000,322480000,177290000,842020000,527270000,31187000,141890000,43693000,156980000,132620000
PA1B3,PAFAH1B3,17781000,21767000,39174000,14720000,96073000,5625100,10608000,6673800,8618300,9019800
HSPB6,HSPB6,6615000,1630800,2723400,3708900,668900,28112000,74176000,27573000,48137000,96499000
NGAL,LCN2,227780000,308250000,75941000,44462000,116400000,14617000,12992000,58639000,38778000,19770000
ISLR,ISLR,3880800,9542500,6534400,5214700,4972800,353680,2738200,283870,2432600,1905900
RS12,RPS12,20774000,29281000,61130000,45224000,60148000,3888300,16418000,4114900,16854000,14922000
BASP1,BASP1,55446000,74406000,103390000,81428000,37391000,8564300,40630000,13212000,11911000,20314000
YBOX1,YBX1,11162000,12252000,89461000,58885000,43753000,2568300,22402000,2340200,15668000,8286800
TCP4,SUB1,92218000,126880000,145880000,139630000,241760000,12353000,44605000,14245000,54132000,57891000
BASI,BSG,50289000,61662000,133550000,126090000,110740000,4476300,14518000,5457500,20557000,17193000
DRA,HLA-DRA,10656000,4235800,1401300,5967700,4159400,16687000,39649000,9483300,67806000,87479000
TOM22,TOMM22,20398000,26624000,48323000,28211000,49804000,3053100,8200600,10117000,8830700,17261000
HM13,HM13,15066000,19093000,47968000,44295000,41901000,1906500,5792900,977360,15335000,2448600
