protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
COCA1,COL12A1,13974000,150230000,22130000,89440000,63896000,140700000,83257000,88098000,31564000,15212000,55623000,1999900,8123600,18670000,6546800,5005900,19695000,8153600,2512600,6528000,29234000,14514000
PGBM,HSPG2,26264000,60078000,32797000,63251000,78976000,49528000,13075000,18611000,3710300,12435000,4863100,11621000,9347900,9919300,20650000,5174900,17537000,17898000,8410200,12102000,9268500,14363000
MUC5B,MUC5B,1643800,6243900,10072000,3523100,5673300,681800,3729500,40687,36959000,13790000,101730000,10085000,73909,11318000,253190000,65469000,1099600,1369700,11916000,9891100,1746800,15200000
CO5A1,COL5A1,1723400,14081000,6873200,13470000,11961000,11099000,3251000,22713000,2420000,2397100,5730300,624200,NA,2389600,628080,912170,2264700,1021200,1105300,524630,8635400,2631400
TGM2,TGM2,191620000,38980000,224980000,41420000,58677000,59960000,36047000,142230000,2821100000,104430000,24073000,156740000,41613000,16813000,394870000,24026000,1196000000,93515000,692640000,178930000,276120000,213880000
PLAK,JUP,91174000,67698000,42588000,39204000,52134000,120330000,103550000,18355000,3671100,9419200,8988400,11648000,11882000,3928800,17367000,8091400,34598000,50188000,14714000,14943000,18744000,29745000
TSP1,THBS1,5804300,156070000,13811000,95825000,59079000,86886000,45509000,28008000,75388000,11831000,14166000,7514800,8946400,33869000,14830000,7498100,24350000,17893000,8590000,14815000,12445000,8695000
6PGD,PGD,132450000,96350000,150020000,189200000,2291300000,414840000,227350000,129010000,145310000,193620000,115770000,123830000,49629000,175980000,89106000,72239000,120710000,136500000,143420000,240160000,147890000,247810000
K2C5,KRT5,33208000,9870000,12621000,8982500,20189000,53354000,117590000,9219100,2554500,2532800,1697600,5962500,3342700,799310,1909600,5034000,10259000,6510000,3643200,4949800,2896800,5115500
K2C7,KRT7,22025000,908430,4410500,13478000,13322000,950620,4020000,2796300,25027000,41307000,21822000,47437000,17390000,10820000,31278000,31680000,76554000,132480000,5779100,38045000,67310000,24675000
K1C18,KRT18,60032000,18243000,39103000,39896000,50513000,5746100,128230000,6335400,162260000,163700000,286710000,325870000,125560000,36323000,253520000,71078000,1088900000,594920000,60797000,298240000,279000000,591030000
FBLN2,FBLN2,22917000,50819000,48217000,83387000,112960000,194300000,102120000,144440000,56503000,41903000,43246000,18670000,4529000,6927900,63288000,11665000,22331000,18551000,52431000,20974000,39205000,22136000
EST1,CES1,53214000,42965000,85965000,41857000,895970000,329130000,42653000,34012000,51527000,45738000,21132000,11893000,24680000,14165000,76818000,20545000,10598000,20346000,140430000,110720000,61883000,59356000
TBB3,TUBB3,14334000,31188000,18967000,17993000,22736000,25411000,21308000,17255000,30822000,53481000,27875000,23625000,52151000,15794000,30498000,19463000,240680000,293350000,3629800,84918000,95101000,46921000
TFR1,TFRC,28590000,107910000,22960000,68434000,124720000,76841000,375560000,46861000,56806000,35679000,22362000,29079000,8335600,13238000,10353000,28665000,74570000,55931000,14191000,15253000,16800000,49996000
1433S,SFN,240360000,278390000,225810000,78969000,167770000,1093100000,136020000,45380000,96087000,57148000,49628000,45234000,47202000,44437000,138610000,43633000,136580000,224330000,76184000,128680000,108710000,64529000
F16P1,FBP1,38685000,16838000,54318000,39676000,45640000,64571000,48228000,28491000,257910000,490130000,82588000,141590000,88041000,50684000,130150000,62700000,39445000,242430000,138640000,246670000,126190000,342070000
AK1C3,AKR1C3,59811000,68885000,99627000,48134000,117510000,689020000,27156000,36540000,58237000,9090100,34787000,71003000,28063000,34860000,21064000,31220000,50313000,55300000,39276000,60670000,29545000,12370000
PTN12,PTPN12,11519000,52214000,42154000,31689000,51721000,6358300,15662000,90479000,19071000,5097800,19872000,7473300,2658300,11290000,6583500,6738300,13425000,9465200,3339800,10421000,34841000,11745000
CBR1,CBR1,159180000,143000000,92924000,45118000,906580000,920860000,130490000,69678000,158080000,154070000,45637000,184660000,53449000,7325400,124700000,23701000,108460000,114510000,92800000,74850000,61029000,157280000
SPB5,SERPINB5,96253000,111140000,52246000,26495000,58258000,195980000,86566000,16576000,6702100,17570000,3006300,2719500,2249400,16798000,3644000,47717000,25094000,9308900,8232500,3947300,31461000,11971000
AL3A1,ALDH3A1,11669000,24468000,19861000,12310000,40999000,1231500000,21337000,16871000,21793000,17453000,19766000,12416000,6090600,3661800,11684000,6181700,20621000,17074000,44090000,9679000,19427000,12098000
SERA,PHGDH,51462000,48151000,11876000,41732000,90503000,45088000,89079000,15654000,16059000,20347000,5057000,17847000,4718500,2927300,10043000,13774000,15069000,8556100,12469000,7956500,22089000,25149000
ACSL5,ACSL5,1513400,951300,3004800,1212000,1233400,1310500,2568500,1668300,21497000,7335400,4060300,9030100,6808600,731410,14960000,1757100,24253000,17500000,4834700,4876100,2750200,36423000
NHRF1,NHERF1,50010000,26068000,38879000,52365000,308560000,59453000,69915000,26604000,17845000,14985000,3705900,25170000,12660000,70182000,18968000,30658000,26688000,18483000,21444000,16773000,38458000,32400000
PCAT1,LPCAT1,3916700,1563200,1715500,3840900,2368800,1787000,2964400,853970,4749400,10005000,3349500,3411700,11267000,1509600,5526700,1741600,12309000,33704000,3118100,9217500,4327400,17873000
SUSD2,SUSD2,8096200,1989600,4400600,25505000,6118700,2723000,3078300,8482900,8775200,9596800,5165500,5987700,21711000,2153800,21145000,4358700,10984000,51325000,302150000,34157000,13103000,49751000
CCD80,CCDC80,323160,6781300,3521300,3170500,2712800,7121500,2367100,17119000,2041100,1731600,1716200,427840,154450,967390,957420,361970,810130,952130,1714700,465210,2429100,1185200
UCHL1,UCHL1,16149000,324800000,25425000,165700000,1776400000,179760000,133190000,101450000,32909000,59763000,25428000,9761300,6951400,8662800,24457000,8433500,11518000,612320000,34047000,67261000,33034000,19393000
S10A9,S100A9,30760000,132650000,609580000,552650000,142500000,141960000,130050000,60582000,9920700,33072000,6457900,92968000,18861000,305090000,21717000,41603000,49527000,7875500,70219000,18990000,14204000,62600000
GTR1,SLC2A1,33306000,79816000,21002000,95265000,136430000,335790000,372220000,26437000,17296000,28824000,16465000,16845000,24323000,34654000,13834000,23283000,48920000,66748000,21720000,29369000,21046000,30395000
GSTM2,GSTM2,24310000,22157000,22872000,15620000,196010000,110640000,25502000,18401000,22678000,17448000,5691300,6166300,4638600,4624900,26926000,13699000,16846000,9331100,35531000,9982800,12458000,15472000
CP2S1,CYP2S1,19998000,2518300,2496300,453090,8714900,2234700,43548000,1760100,2084900,893270,282190,1977800,520010,152590,3833400,1889700,2310200,2048600,2003800,504840,937380,3068700
HEP2,SERPIND1,6569900,11940000,18174000,7962400,9956500,8096200,7306400,26168000,7421300,330780000,7109500,11144000,11926000,7799600,3219200,8598600,7385700,570800000,11133000,228410000,307310000,6616700
GALE,GALE,10293000,632040,9820200,3331200,1985200,11580000,6521300,4149400,31602000,17812000,18080000,17694000,11399000,799020,17798000,19958000,42392000,28905000,10235000,17161000,8903200,26186000
CAH3,CA3,3188700,4868000,24459000,2866100,2894200,5430200,4913400,1280700,1973300,6967400,2046800,2198400,2291300,3918700,46802000,3053700,5428800,6736300,422540000,4682700,9111300,6828900
GSTM3,GSTM3,21038000,11981000,43716000,12163000,223550000,194550000,20641000,33330000,4214300,10879000,2022600,4846800,11184000,2743300,15496000,10270000,4540900,7790100,44356000,23278000,28148000,40274000
S10A6,S100A6,114110000,129250000,188000000,218680000,206180000,735680000,551950000,30757000,638720000,NA,334080000,130130000,786770000,147070000,34815000,546720000,1992300000,6228900000,1250600000,2123000000,1126100000,2041400000
SYUG,SNCG,4801100,39540000,5482000,2571500,4152500,977630,2868700,1723500,4729700,10284000,498570,3400900,7476500,517230,3374800,2816400,34425000,175950000,6707400,2364200,15616000,240480000
NAPSA,NAPSA,52714000,10757000,60792000,49875000,29808000,17307000,28426000,42568000,202590000,68631000,26156000,670140000,188040000,22768000,223950000,7863500,136160000,164320000,34858000,387000000,20014000,143050000
RAGE,AGER,9226500,1356100,6940800,15776000,375900,13941000,NA,4948700,1893600,1513600,4664600,5126300,126840000,1579200,17874000,8901900,4039600,1621800,17838000,85539000,38167000,133660000
GSH0,GCLM,8366200,33594000,4566600,7059300,179790000,44589000,11994000,6600400,9535300,6347100,4059500,4521700,4518900,3342400,4658100,3122400,4766900,12291000,4727000,9907800,8201400,10538000
NB5R2,CYB5R2,14657000,12347000,2562300,4415000,3325200,19435000,28496000,8307100,4430400,1796700,3124600,2950600,1315300,79258,4632000,1698600,860910,71211,5310800,2812700,2769200,1972300
DAF,CD55,4803700,6832100,2462200,6691000,6566000,8143000,8542100,1847500,12339000,12349000,14490000,8609200,7948400,1226700,9287400,2247300,135660000,14575000,4349500,15203000,10354000,32681000
IBP2,IGFBP2,6821300,38437000,1715800,52356000,8226800,3446600,25560000,5813500,984190,1527500,549400,1045500,2358200,2864400,2569700,1096900,7839500,5432400,3280700,3593200,5078400,6944200
RABP2,CRABP2,48779000,8754500,12091000,10457000,18725000,6372300,12260000,14371000,199260000,26911000,12375000,2242300,41725000,20488000,7490500,3919600,35058000,853960000,8368800,39392000,51614000,319490000
PIR,PIR,5420500,15017000,6874800,12860000,21294000,52302000,1856600,2366600,1731300,1133900,3593900,2394200,853310,2642600,1763800,2038700,11230000,625120,5112000,2760400,2928500,3823500
PROF2,PFN2,50896000,35348000,16997000,25431000,112900000,49570000,57304000,9647100,6392500,9625300,5178700,4846800,1757800,1555100,9665400,3766500,11327000,34000000,14903000,12410000,22499000,7891900
CYTA,CSTA,12496000,109550000,92335000,58400000,26164000,147810000,185870000,19720000,4071300,7194700,12870000,4298100,19836000,8728200,19533000,13445000,6281700,34999000,11105000,21436000,8955200,9282100
