logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,protein
-4.748542098383361,26.160326976112138,-7.856023991411733,1.1324720210692637e-7,5.2605362566749825e-5,7.812798571081116,MZB1,5,-8.377137861275047,1.0043000448492886e-8,1.3357190596495537e-5,MZB1
4.9998613296668175,22.640860141405003,8.439711660370246,3.569310329809761e-8,4.747182738646982e-5,8.882469476325557,CAVN2,1,7.796351002589956,3.747731613122068e-8,1.665550428464856e-5,CAVIN2
5.132912532892345,23.524779542297306,7.832899231656629,1.1865871255657856e-7,5.2605362566749825e-5,7.769346907060127,HBB,2,7.79529360845836,3.7568806657102016e-8,1.665550428464856e-5,HBB
4.548175263478935,25.137294019915085,7.122209082641383,5.158503000969646e-7,1.3375764122311104e-4,6.394061264861284,FHL1,4,7.472199569476673,7.96838440078011e-8,2.6494878132593866e-5,FHL1
-5.499078187151646,19.16423114248179,-7.528705881138057,3.0226162074214206e-7,1.0050198889676224e-4,6.877864913508137,DCTP1,1,-7.175253411760006,2.0472525324287613e-7,5.445691736260505e-5,DCTPP1
4.36102235565285,23.349596493771312,7.048263490327434,6.034179303298243e-7,1.3375764122311104e-4,6.246558806309627,HSPB6,2,6.9423670736421474,2.8150557074886957e-7,6.240040151599942e-5,HSPB6
4.759481454822737,21.62832620328946,6.515958544511785,1.9056726934718265e-6,2.534544682317529e-4,5.160875296486379,CLIC5,2,6.595975947667716,6.545753589009486e-7,1.2436931819118023e-4,CLIC5
3.693877123085908,27.125210938502722,6.633033588638551,1.4751187320301377e-6,2.452384892000104e-4,5.403198985986958,CAV1,2,6.3936855781368385,1.078392098158205e-6,1.7928268631880158e-4,CAV1
4.004813056365986,21.64531273634531,6.903253379802164,8.223769280101291e-7,1.5625161632192453e-4,5.9549253312778685,CAV2,1,6.338316365094319,1.2372727605798246e-6,1.8284141906346296e-4,CAV2
-4.21543655418149,20.678104876106065,-6.411151668496671,2.4002707877957325e-6,2.66030012314027e-4,4.942296994217468,CO3A1,1,-6.088644528886777,2.3086578914168e-6,3.070514995584344e-4,COL3A1
-3.9391534079100445,20.480699965541717,-6.413637567711693,2.3871314289327837e-6,2.66030012314027e-4,4.947499235293106,P4HA2,1,-5.984629917313393,2.999292645431885e-6,3.6264174712949155e-4,P4HA2
-3.9637450788849797,22.573232278465348,-6.6436261619392845,1.8509119606829636e-6,2.534544682317529e-4,5.193202737331646,MT2,1,-5.975244349823072,3.6212785201368275e-6,4.01358369315165e-4,MT2A
3.8600606423578405,21.995137463191135,5.791262165836338,9.658708886259736e-6,8.564055212483632e-4,3.6193431615600336,PGM5,2,5.780041413664692,5.033288863254234e-6,5.149441683175485e-4,PGM5
-3.0986869145829843,24.868037026802547,-5.462989535867284,2.0548085230818138e-5,0.0012422251525903692,2.899817157679296,BASI,4,-5.671652696041352,6.631364128966089e-6,6.020552690710921e-4,BSG
-3.6993913701449337,23.18789547102886,-5.516396424845541,1.815953527847706e-5,0.0011501039009702138,3.0176718720853657,TM165,3,-5.662371730843489,6.790097019598783e-6,6.020552690710921e-4,TMEM165
-2.526228404566023,24.779141906070805,-4.9029009990192955,7.624430620278303e-5,0.002982497860285336,1.6483885032748589,RUVB1,9,-5.585233257985187,8.267473836642641e-6,6.872337626709196e-4,RUVBL1
2.8981215371800495,23.291846639963847,5.318096520572935,2.877189040443137e-5,0.0014632216121278217,2.5786497835353153,RRAS,4,5.498731157715428,1.0315164340130748e-5,8.070099160219937e-4,RRAS
3.162408320105314,22.115711036929333,5.673722430490593,1.2639890135908371e-5,0.0010416640836554494,3.3630878119478247,EPB42,2,5.470054653010635,1.1101613964437553e-5,8.202859207056635e-4,EPB42
-2.3791901310390813,24.616410486329496,-4.635051711179792,1.4386131018196405e-4,0.003478828046218404,1.0424562426757493,PLAK,11,-5.428126106774259,1.236191118282756e-5,8.266580953357272e-4,JUP
-2.717374924454841,23.842950293780717,-4.99160772642757,6.18448705400026e-5,0.002570427431818858,1.8482081021483605,TTL12,6,-5.40196396230175,1.3220561925285974e-5,8.266580953357272e-4,TTLL12
-3.088727514288884,25.659508430754222,-5.5909323833801,1.52902210713065e-5,0.0010920503045157193,3.181653596836334,RL22,2,-5.379531480575934,1.4004626609665783e-5,8.266580953357272e-4,RPL22
-3.2101932024321584,23.39884806098443,-6.011271551323986,5.862041957649554e-6,5.997319848979929e-4,4.094556875710259,RS21,1,-5.378388544308422,1.4045808755400791e-5,8.266580953357272e-4,RPS21
-3.9533350465106736,23.644387527957903,-5.553046305166295,1.6685838260721413e-5,0.0011096082443379739,3.098376745740552,RL19,1,-5.371527938452225,1.4295591122347163e-5,8.266580953357272e-4,RPL19
-3.6059593323206087,20.26525114706898,-5.962700186252596,8.004612599873176e-6,7.604381969879517e-4,3.8174409534397533,P3H1,1,-5.386524019051913,1.5669669678530564e-5,8.68360861351902e-4,P3H1
-2.721195177605182,25.06903020662959,-4.604561145603231,1.5467918680004756e-4,0.003563782414424483,0.9732923409908159,ERO1A,11,-5.297457846522008,1.729539271954953e-5,9.20114892680035e-4,ERO1A
3.078926015468401,21.665614140394183,5.407265376380861,2.3382731186289613e-5,0.0012957930199068827,2.7765412554946067,ESAM,2,5.237569285056869,2.0179840367698177e-5,0.0010212706251213953,ESAM
-3.363109929149708,20.587744876830026,-5.65107700672795,1.3314503324919278e-5,0.0010416640836554494,3.313535926023455,PKP3,1,-5.227085234209148,2.0732561562614793e-5,0.0010212706251213953,PKP3
-3.3617905943071094,23.082356498723627,-5.582206982765418,1.5600718635938846e-5,0.0010920503045157193,3.16248810264519,RL10,1,-5.180687018518557,2.336776377683181e-5,0.0010982205066343554,RPL10
2.86621118891318,23.039392352562064,5.432555752237555,2.2049938067509706e-5,0.0012750616360777353,2.832528238845958,CD36,2,5.171210635132433,2.3946161422854366e-5,0.0010982205066343554,CD36
-2.6942602229276673,25.299840002856225,-4.321129302153325,3.039326038957501e-4,0.005182440553607021,0.32948168704981295,FBLN2,15,-5.082069546580496,3.0144515949129908e-5,0.0012983707677387806,FBLN2
-2.9921769953814206,21.71251082423214,-5.022520941241081,5.7501727606231075e-5,0.0024670096037512045,1.9177210830871587,SMAP,3,-5.075646624550516,3.064906783822868e-5,0.0012983707677387806,SMAP
-3.7861298312773783,19.11735738868625,-5.428172972895835,2.6280462313863498e-5,0.0013981205950975382,2.693936492886529,SEC62,1,-5.112842953059173,3.1238995915519535e-5,0.0012983707677387806,SEC62
-2.4777396275151773,27.386575511287212,-4.326730611047843,2.9989704619731944e-4,0.005180039888862791,0.3422106788439816,PDIA6,12,-5.042180197728581,3.341877146594418e-5,0.0013468777590819926,PDIA6
-3.067854219554082,21.105843871642726,-5.089339527662635,4.913980351834071e-5,0.0021785312893131048,2.0677405844220225,CRIS3,2,-4.987763325087758,3.8470018213360435e-5,0.001462644751134338,CRISP3
-2.815172916815495,26.374967167576287,-4.4040744244643735,2.493661251315892e-4,0.00480662241195672,0.5179782087234459,NAMPT,10,-4.987556109406011,3.8490651345640474e-5,0.001462644751134338,NAMPT
-2.7922407923192836,27.10214028673722,-4.396398797005291,2.5397316272716996e-4,0.004825490091816229,0.5005355610440727,NDRG1,9,-4.936559913489411,4.392198340067135e-5,0.0016226732756359137,NDRG1
-2.4869626750610827,24.522092504978662,-4.778002615337828,1.024637504128026e-4,0.0033865562221157487,1.3662629589367628,RL9,4,-4.915379982714256,4.6398132350493085e-5,0.0016678247574636702,RPL9
1.8440815560682289,27.266231904867695,3.8168502102684267,0.0010117701291234677,0.01034602425126398,-0.812764275343163,CATA,18,4.887776918197616,4.983676352855624e-5,0.0017442867234994683,CAT
-2.7180110499162566,22.775025816805222,-4.663943107546042,1.3431481422625555e-4,0.0034731537443681254,1.1079643541278967,NSUN2,4,-4.854676982500633,5.429906431384643e-5,0.0018145065654364084,NSUN2
-3.1993448438773413,24.66189634257743,-5.183703533783376,3.9383020344491525e-5,0.0018061867951094388,2.2790248641991298,RL8,1,-4.843368576706368,5.5913709475410514e-5,0.0018145065654364084,RPL8
3.495096026970039,20.617503885349173,5.250722072822816,3.9262136551990924e-5,0.0018061867951094388,2.313656940411276,PHF8,1,4.88296426937599,5.593591667886673e-5,0.0018145065654364084,PHF8
-2.5444391864987743,25.543736025158935,-4.674337415795549,1.3103869058576583e-4,0.0034731537443681254,1.1315250759647055,ALDOC,4,-4.8325312311028,5.750626339567638e-5,0.0018210316741964188,ALDOC
-3.726025658398946,22.10891990269154,-4.71474094359642,1.1905137835116342e-4,0.0034421376784140732,1.2230682130440753,PLOD1,2,-4.82309280423881,5.8930257253988734e-5,0.001822726561576861,PLOD1
-3.7996895841246143,25.609808243545558,-4.58959715287402,1.6028447726760403e-4,0.003613192453659548,0.9393381738656208,UCHL1,3,-4.810158626445841,6.093925644042107e-5,0.0018357938292723709,UCHL1
-3.1894587797574694,23.258875486404207,-4.810607502142093,9.484665083552032e-5,0.0032345139900318465,1.4399918907651932,HM13,2,-4.797023869886362,6.304968489096131e-5,0.0018357938292723709,HM13
-3.541722446378749,21.965698254939838,-4.945020928555339,6.902641360388753e-5,0.0027819736391869825,1.7433296918577934,PSPC1,1,-4.789607798995609,6.42734582551714e-5,0.0018357938292723709,PSPC1
2.888948896542651,21.43004213680245,5.30440953490044,2.9704498892820443e-5,0.0014632216121278217,2.5482084019722304,CLC14,1,4.7764623699400275,6.650145225526822e-5,0.0018357938292723709,CLEC14A
3.091378459972976,27.646332150155178,4.525916147537878,1.8651904986746013e-4,0.004013840937986515,0.7947767873255422,HBA,4,4.772188139420484,6.724242658305793e-5,0.0018357938292723709,HBA1;
2.3769971922829747,30.665513707469085,4.6400200548803445,1.4217224035461287e-4,0.003478828046218404,1.0537234597009997,HBD,4,4.76459991399964,6.857834590780158e-5,0.0018357938292723709,HBD
-2.7332017013518097,25.570657433158875,-4.463101587512817,2.1662961524477592e-4,0.004365414973871999,0.6521000769777006,PRDX4,5,-4.762152817158187,6.901480561174326e-5,0.0018357938292723709,PRDX4
-2.4356385432950916,22.090991526135277,-4.602571170926308,1.554130676967068e-4,0.003563782414424483,0.9687773479940924,CDC5L,4,-4.743770704613825,7.238359704336485e-5,0.001886920367009817,CDC5L
-3.131518190389695,23.383797640719155,-4.75528129392631,1.0813448490020306e-4,0.0033865562221157487,1.3148532810545328,TCTP,2,-4.736430689319598,7.377433013872968e-5,0.001886920367009817,TPT1
-2.902509663134037,21.608196699720434,-4.823617601789572,9.196930482332401e-5,0.00323318774200957,1.4693964631284873,IF2B,2,-4.7256902309378335,7.585771727029535e-5,0.0019035993201791097,EIF2S2
-2.6135671218319985,29.740659538303525,-4.679226851933009,1.2952559956883817e-4,0.0034731537443681254,1.1426065492715738,S10A8,3,-4.682007901299315,8.495568780016547e-5,0.00209242712544852,S100A8
-3.002102954007544,22.034931163107977,-4.663720499542295,1.3438587282866657e-4,0.0034731537443681254,1.1074597266295205,YBOX3,2,-4.62694105561367,9.799617442494747e-5,0.002369725672457821,YBX3
-4.087311167525854,22.36175612521709,-4.427239837615598,2.3596433491642857e-4,0.004684068140878358,0.5706186452797093,FKB11,2,-4.6063084429274035,1.0338208094994885e-4,0.002455324422561285,FKBP11
2.931976344692451,20.964302881301922,4.792962208805225,1.1203644644593455e-4,0.0033865562221157487,1.3192470924740096,BST2,2,4.616229045604455,1.1019221065465034e-4,0.0025711515819418413,BST2
-3.521600996109015,21.215980504663996,-4.673489475157003,1.3130290317709946e-4,0.0034731537443681254,1.1296032027372354,RBX1,1,-4.57439686399524,1.1230051868972236e-4,0.002575167066505702,RBX1
-2.7712018042361173,25.1257725705877,-4.46753004108468,2.143551820068513e-4,0.004365414973871999,0.6621608998290123,NNMT,3,-4.540515509290578,1.226118614697096e-4,0.0027639623009273516,NNMT
-3.20485619230994,19.821158201926842,-4.904138225497705,8.671515257405525e-5,0.0032036431367637075,1.5622906092602449,NU1M,1,-4.536692768197914,1.349074385234981e-4,0.0029426448936650034,MT-ND1
-2.1616860209284425,29.898485794468066,-3.923108069821892,7.856523762899876e-4,0.009202159362768563,-0.5731286268168576,ENOA,10,-4.499924860388212,1.3621657804643985e-4,0.0029426448936650034,ENO1
-2.8658715162059174,24.146435242278937,-4.270493383379269,3.4297529373838136e-4,0.005631569637926509,0.2144213715182639,RCC2,4,-4.497217198114053,1.371759273738573e-4,0.0029426448936650034,RCC2
3.3227373731554017,21.24883909451593,4.6191039743818,1.4942086228178673e-4,0.0035487454791924347,1.0062844995284639,SRBS2,1,4.478116088112254,1.44137807777591e-4,0.0029977318727799898,SORBS2
-2.8178031036779245,23.67242358346625,-4.885253235227401,7.949126803028132e-5,0.00302066818515069,1.6085773634579041,RL18A,1,-4.477811155054208,1.4425175929166868e-4,0.0029977318727799898,RPL18A
-2.6342349054977845,23.576191376667225,-4.244239783102435,3.6515673049060556e-4,0.005851306645210909,0.1547759969063014,RS20,4,-4.4425015296637795,1.5807274593853524e-4,0.003234411570742336,RPS20
-2.7291797477645865,22.63007093708913,-4.5245847748604815,1.8711138207155184e-4,0.004013840937986515,0.7917534565199711,SDF2L,2,-4.43484212940062,1.6124081067201367e-4,0.0032492466392996695,SDF2L1
-2.8483776406413526,20.0715627196126,-4.747305662055464,1.1019930132700608e-4,0.0033865562221157487,1.2968018252954536,ACAP2,1,-4.401251879389093,1.758982531013445e-4,0.0034570545988967852,ACAP2
-2.7335886397529805,23.156699472836785,-4.821750321282501,9.237679262884485e-5,0.00323318774200957,1.4651766978570926,CNBP,1,-4.39671998836245,1.7797482053932742e-4,0.0034570545988967852,CNBP
-2.7184132147856133,22.30658196987486,-4.314008011063122,3.0914194956368026e-4,0.005204541682527782,0.3132987595684922,EFTS,3,-4.393745639809743,1.793509528750964e-4,0.0034570545988967852,TSFM
-2.867605948171157,23.99059363708788,-4.407584912208194,2.472871226677779e-4,0.00480662241195672,0.5259555825534985,RL27A,2,-4.380986999984977,1.853751513198207e-4,0.0035221278750765935,RPL27A
2.9065830925913865,23.508169085573954,4.383587687191741,2.6185369445585636e-4,0.004905146670792802,0.4714220664598221,DRA,2,4.371270719092315,1.9009758678907032e-4,0.003560982963795261,HLA-DRA
-2.171016895005117,24.374982323057612,-3.9557503827425244,7.268531899243864e-4,0.009034717220555457,-0.49935557418670395,G3BP1,7,-4.355946500725178,1.9779015009569687e-4,0.003622402752128852,G3BP1
-2.504726124986938,24.320180360424786,-4.326887270353616,2.997849538390468e-4,0.005180039888862791,0.34256668961797754,SSRA,3,-4.353933096665593,1.9882360970331292e-4,0.003622402752128852,SSR1
-2.8542332495963976,21.080667821706186,-4.648550254691823,1.3931873832664232e-4,0.003478828046218404,1.0730663188066467,SARNP,1,-4.337265746012453,2.0758770384412804e-4,0.0037309681907120307,SARNP
-2.721921357291553,22.937913607489616,-4.362283053483915,2.7550598527098735e-4,0.0050892077834779606,0.4230058414640183,PXL2A,2,-4.303515436687033,2.2652838243660784e-4,0.003980275009245291,PRXL2A
-2.4469397741202776,22.737140513313822,-4.279085350762697,3.3601311402335225e-4,0.005586218020638231,0.2339432998570583,CSK2B,3,-4.297698800697275,2.2996201755646478e-4,0.003980275009245291,CSNK2B
-3.845530022521853,22.632300821115802,-4.101356403435543,5.59313344360927e-4,0.007748820291667009,-0.20465616377373497,MAP11,3,-4.315606310390275,2.3672358896439168e-4,0.003980275009245291,METAP1
-2.6213295848042257,24.931854961009527,-4.005293664110962,6.458696739623207e-4,0.008339870547280453,-0.3872660437040514,LRC59,5,-4.286383822130267,2.3679026265480257e-4,0.003980275009245291,LRRC59
2.7159370517136203,22.79264740984032,4.659338232790641,1.3579247722341544e-4,0.0034731537443681254,1.0975252539816225,DPB1,1,4.284021298828254,2.382412013273755e-4,0.003980275009245291,HLA-DPB1
-2.735572063352542,20.898461591967774,-4.3308315259480406,2.9697657200998453e-4,0.005180039888862791,0.3515301061222651,AAK1,2,-4.282120411352943,2.394150381500927e-4,0.003980275009245291,AAK1
-2.8407766459158026,22.38605735990363,-4.534122137702554,1.8290959313039255e-4,0.004013840937986515,0.8134104361899697,RU1C,1,-4.253443526970706,2.578369126506008e-4,0.004233618442287643,SNRPC
3.643655892780174,20.538626870800115,4.2314876101015,3.764434797601219e-4,0.005890233271540731,0.12580812231481087,H2A2A,1,4.241571814096059,2.6586913200841013e-4,0.0042901048739047935,H2AC18
-2.7576600416553916,20.36529269947095,-4.80386884979039,1.0925150671938648e-4,0.0033865562221157487,1.3431269769962988,PRPS2,1,-4.2647106943904785,2.6940210305120057e-4,0.0042901048739047935,PRPS2
3.112897818945612,24.810375759801325,3.888501025962185,8.531590752800086e-4,0.0093776989266315,-0.6512661398248616,SUSD2,6,4.231293521903669,2.7302360016139124e-4,0.0042901048739047935,SUSD2
-2.2834629951360235,25.290761675536604,-3.903035644872436,8.241322213063398e-4,0.009288947918113829,-0.6184591031386901,SFPQ,6,-4.229657865061522,2.7417963479842665e-4,0.0042901048739047935,SFPQ
-2.233594082410953,23.416204435739672,-4.074960598452524,5.469703370495363e-4,0.007692360156663331,-0.2294380453491156,NDUB8,4,-4.215942337243582,2.8406650807275447e-4,0.004393121578334459,NDUFB8
2.0879611052357347,28.461333076278486,3.8907882535005074,8.48524870399809e-4,0.0093776989266315,-0.6461044707627863,CAH1,6,4.209406273750872,2.88901723876312e-4,0.00440081354261893,CA1
