logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,protein
-4.108930350708011,19.70937735268396,-6.1954584416969665,9.643783447898293e-7,0.003734072951026219,5.4685722376996475,PKP1,1,-6.114049015858735,8.87381541920731e-7,0.0034359413303170702,PKP1
-2.642838944293768,22.666843209291418,-5.619922588128436,4.66049499009202e-6,0.00902271830081815,4.076373325778328,K2C5,2,-5.533381189661345,4.653141974653081e-6,0.009008482862928364,KRT5
-2.8275030395605683,24.105447244436387,-5.214912907176816,1.4267306116480923e-5,0.015946115691726097,3.0812660884186966,SPB5,8,-5.391356466816446,6.9912029768989365e-06,0.009023312642184228,SERPINB5
-1.8561937758732476,23.93818253965819,-4.918925553285673,3.238367408865589e-5,0.015946115691726097,2.3498155235457174,PGBM,49,-5.226517821979422,1.121740855796614e-5,0.009755102753601846,HSPG2
2.9156109036054403,26.605895096256248,5.022829794297965,2.428583701735071e-5,0.015946115691726097,2.606787093493618,K1C18,6,5.180030889687412,1.281755868090224e-5,0.009755102753601846,KRT18
-2.3795981205033883,24.238827774990796,-5.0260007836697795,2.4073474686807522e-5,0.015946115691726097,2.614627219714211,CYTA,4,-5.122516112597308,1.5116378233887157e-5,0.009755102753601846,CSTA
2.780541838436047,23.872177810175845,4.9508703828953955,2.9641980449764978e-5,0.015946115691726097,2.428831902868059,K2C7,3,5.0378024008733115,1.927243156361561e-5,0.009857927702968002,KRT7
-2.1243313181931356,24.430244625490523,-4.8195790759805694,4.263512275383145e-5,0.018342577255870594,2.1040649665573588,PLAK,16,-5.018519576685903,2.036761922100827e-5,0.009857927702968002,JUP
-2.561141236393592,24.296895339150787,-4.716215953109176,5.674627938418715e-5,0.01997469034323388,1.8484565916658058,COCA1,52,-4.952654306723189,2.459810520139573e-5,0.010582651482200474,COL12A1
-2.7789522784917793,21.552336217561173,-4.912702724161482,3.2946520024227475e-5,0.015946115691726097,2.3344224851179467,K1C17,1,-4.763242825527309,4.229062360428851e-5,0.016374929459580512,KRT17
-1.8182317447473046,23.63123374090914,-4.745882742528866,5.2277190396734404e-5,0.01997469034323388,1.9218039443142372,BID,3,-4.724808635314262,4.719681559265556e-5,0.016613279088614756,BID
-2.115017367216524,21.216658004265508,-4.585981567675513,8.131297542131772e-5,0.026236986735945184,1.5267297262816344,PTPRF,3,-4.623289724353599,6.30441010861628e-5,0.02034222995046853,PTPRF
-1.8686178671156277,24.07595147747893,-4.368605066505731,1.4792915878233484e-4,0.03579885642532503,0.9913421705710013,SERA,9,-4.515611388038297,8.563901017391173e-5,0.02550724979949125,PHGDH
1.7938420499411087,26.36937681549728,4.318385110733917,1.6978317040848505e-4,0.038670613871862006,0.8680710525850914,F16P1,9,4.462591383680224,9.954664760458741e-5,0.02574525457458056,FBP1
-2.2984808589943455,21.55776811468908,-4.4226130168957605,1.361538068923681e-4,0.03514583601914995,1.07022348336365,CO5A1,3,-4.483360047210346,9.973626513912923e-5,0.02574525457458056,COL5A1
-2.2253613732271837,23.656644246408078,-4.41956629048307,1.2860093093356757e-4,0.03514583601914995,1.1166150978350977,PROF2,2,-4.379614488860158,1.259179020788842e-4,0.030472132303089972,PFN2
-1.8814824511983659,21.213916175260966,-4.407655395608175,1.328813860017269e-4,0.03514583601914995,1.0873203617822478,CO5A2,2,-4.294087354988659,1.603141767984069e-4,0.03651391132726068,COL5A2
-1.2888414715730434,21.95681209817555,-4.1695155883050585,2.551048606686004e-4,0.054875890028267815,0.5038978787108173,LY75,3,-4.064743314280515,3.0503979929829276e-4,0.06561745016016608,LY75
2.1710787520904837,21.960975041610027,4.04310494229289,3.5982085089605176e-4,0.07332770182471118,0.1964427047798294,ACSL5,2,4.028129076234673,3.378087552518456e-4,0.0688418684386919,ACSL5
-1.6537949402911316,25.80645408495206,-3.8916732504320493,5.418524402281755e-4,0.09990726897921408,-0.16919258779142243,POSTN,6,-3.9914802007261785,3.74057632956637e-4,0.07241755774040493,POSTN
-2.2946542785059947,25.671866175321654,-3.808530499763321,6.774708992420444e-4,0.11113414611930328,-0.36848464614087995,S10A9,5,-3.92189627489298,4.536610387012965e-4,0.0827508377004817,S100A9
-1.4643344761561323,24.268322843540023,-3.7587153980765526,7.740793372360483e-4,0.11113414611930328,-0.4873349819028796,RCC2,10,-3.8899301155968495,4.955725759717663e-4,0.0827508377004817,RCC2
-1.7376019693909797,25.129462031823696,-3.728492472438319,8.391161691897155e-4,0.11113414611930328,-0.559225639315402,FBLN2,14,-3.8757114184637658,5.154092931942817e-4,0.0827508377004817,FBLN2
-1.7120998302021881,25.22837253897138,-3.7416970899847115,8.100703265912445e-4,0.11113414611930328,-0.5278366643432824,GTR1,7,-3.8527596593418805,5.490770812168276e-4,0.0827508377004817,SLC2A1
-1.2622323608330923,22.088623230448515,-3.8008931474969585,6.914777417846375e-4,0.11113414611930328,-0.38673406097358765,TMTC3,5,-3.8455026834888324,5.601622344945892e-4,0.0827508377004817,TMTC3
-1.554350402863431,27.262343474215594,-3.706500118257904,8.897620169675623e-4,0.11113414611930328,-0.6114318670251908,FBLN1,11,-3.8425415836817187,5.647478460741225e-4,0.0827508377004817,FBLN1
2.054112390437954,26.33810662001255,3.7208530837053453,8.563816520028427e-4,0.11113414611930328,-0.5773706042194195,K2C8,6,3.8347226275461144,5.770332174362101e-4,0.0827508377004817,KRT8
-1.3855388930480466,23.657912669853705,-3.6894345355574085,9.311038661803963e-4,0.1113774498139644,-0.6518793351801895,SPRC,9,-3.808917401195583,6.194578400432198e-4,0.0836434808442383,SPARC
-1.295198564181291,22.333046373436623,-3.867985789993932,5.775185544321856e-4,0.10164326558006466,-0.22608425446968727,AT2C1,3,-3.804069609186168,6.277603628198156e-4,0.0836434808442383,ATP2C1
-1.661886199115422,26.89011593652091,-3.759040126365327,7.734079964663024e-4,0.11113414611930328,-0.48656165471661783,FABP5,3,-3.7801939453252196,6.702594638105758e-4,0.0836434808442383,FABP5
-2.524425383032682,21.43768082457828,-3.670946285897522,9.780044663416296e-4,0.1113774498139644,-0.6956348540344104,NB5R2,4,-3.777152703397247,6.758702619940097e-4,0.0836434808442383,CYB5R2
-1.5918382717098325,22.34844023106536,-3.6810051417352003,9.522091010934272e-4,0.1113774498139644,-0.6718372076512367,SEPT5,5,-3.7628925672527886,7.027949229764613e-4,0.0836434808442383,SEPTIN5
-1.2735319180155713,25.727593520326256,-3.6550624007859978,0.0010201293575078402,0.11285545349343878,-0.7331727141319702,PEDF,8,-3.7576926242268365,7.12870575377031e-4,0.0836434808442383,SERPINF1
-2.107249872977345,20.437927409263768,-3.709106708703515,8.836070901901245e-4,0.11113414611930328,-0.6052490239031609,CXA1,2,-3.7109601656136144,8.099619333537296e-4,0.09178980350256868,GJA1
-1.9042175222308018,21.85351069916451,-3.603564271190201,0.0011692056708598614,0.12527286456851133,-0.8545229296787618,PIR,5,-3.70212489515399,8.29711550255657e-4,0.09178980350256868,PIR
-2.0240410418433576,21.964087838029315,-3.5845501831058906,0.0012294341047529521,0.12527286456851133,-0.8991870240513657,IBP2,2,-3.5847754510812253,0.0011407872154632472,0.12269800272982481,IGFBP2
-1.8563101445285213,20.373815905624898,-3.5916122170745086,0.001206720831366581,0.12527286456851133,-0.8826073544932864,MMP1,2,-3.5671839368521043,0.0011962423805307854,0.12447793881034576,MMP1
-1.075933352810864,24.00148463320019,-3.429951039008009,0.001844423040071053,0.17003823836083612,-1.259305849807265,MCM3,12,-3.5593916644047074,0.001221632663944509,0.12447793881034576,MCM3
-1.4894326383331773,24.102844320050316,-3.4710380703885257,0.001656774759342031,0.1580926769491162,-1.164148798942458,BLMH,5,-3.547421743316768,0.0012616543891903645,0.12478888206738699,BLMH
-1.449416936902555,23.799110002568952,-3.9602554796395784,4.5032515955204796e-4,0.08718295088927648,-0.003996785215737653,EBP,1,-3.5394117893499786,0.0012891413436713533,0.12478888206738699,EBP
-1.9260726253269098,20.484049983118684,-3.5207662254495644,0.0014542889441682577,0.14438478953383319,-1.0484359269888328,CCD80,2,-3.512770488408942,0.001384793599538954,0.1307785565223129,CCDC80
-1.0926902624590333,26.781749687027776,-3.339625683654409,0.0023318618467128758,0.18621265203817344,-1.4669900542967005,CKAP4,17,-3.491154601109786,0.0014674101870321534,0.13528124390924995,CKAP4
-1.5617903642044801,25.130000027524794,-3.318367246420058,0.0024634721130096077,0.18621265203817344,-1.5155541527107115,TFR1,15,-3.4517029539232857,0.0016306275429836337,0.14349900734630988,TFRC
-1.5926113590608004,23.723819012283748,-3.368282050567486,0.0021651295949127575,0.18517835000988622,-1.401332195320232,PTN12,5,-3.4516930726609805,0.0016306705380262486,0.14349900734630988,PTPN12
-1.2974239116204735,22.513688787607155,-3.394221910055606,0.002024162408925761,0.18226876389210572,-1.3417110236758694,DLG1,4,-3.4268070084137863,0.0017424946956147416,0.14981367721642422,DLG1
