query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection
query_1,TRUE,0.049826356400430837,3,222,3,0.013513513513513514,1,CORUM:5689,CORUM,SEMA6D-PlexinA1-NRP1 complex,3383,1773,,"CORUM,CORUM,CORUM","PLXNA1,SEMA6D,NRP1"
query_1,TRUE,1.7207641603974447e-10,1258,956,140,0.14644351464435146,0.11128775834658187,GO:0009888,GO:BP,tissue development,16178,3786,,"IMP ISS,IBA,IDA,IBA TAS,IDA,ISS,IDA ISS TAS,TAS,NAS,IMP,IBA,IMP NAS,IDA TAS,IMP IGI,IDA ISS IBA,ISS,IBA,IDA ISS,IDA,IEP ISS,ISS,IMP,TAS,IDA,IDA IBA,ISS,TAS,IBA TAS,IDA,TAS,ISS IBA,IMP,IDA,ISS,IDA,ISS,IEP ISS IBA,ISS,ISS,IMP ISS,IDA,ISS TAS,NAS,ISS IBA,ISS,IBA,ISS IBA,ISS,ISS,ISS IBA,IMP,IBA,IMP,ISS IBA,ISS,IMP,ISS,IMP,IDA,IMP TAS,IEP,ISS NAS,ISS,TAS,IDA ISS,IBA TAS,TAS,ISS,IBA,IDA,ISS,IBA TAS,ISS,IBA,IMP ISS IBA,IDA TAS,ISS IBA,IDA TAS,ISS,ISS IBA,IDA,IEP ISS,NAS,IMP,IDA,ISS,ISS,IDA ISS TAS,ISS,IDA,IMP,IMP ISS IBA,IMP NAS,IBA NAS,NAS,IBA,ISS,ISS,ISS,IEP,IDA IMP ISS IBA,ISS,IBA,ISS,ISS,IMP,IEP IBA,IMP,IEP,IMP ISS,NAS,IMP,ISS IBA,ISS,IBA,IDA,IDA IEP NAS,ISS,IMP,IMP ISS,ISS,IBA,IEP,ISS,TAS,IMP,TAS,ISS,ISS,IEP ISS,ISS,IMP,ISS,IEP,IMP,IBA,ISS IBA,IMP,IDA ISS TAS,IBA","CERS3,KRT13,MARK1,KRT15,CSTA,IRF6,BMP7,BNC1,RHCG,CLDN1,NRARP,NHERF1,FOXN1,FZD7,GDNF,GPC1,DVL3,ZNF703,FAM83D,SMO,TP63,ZFP64,GJB5,WNT3A,DIPK2A,SOX15,FABP5,KRT5,PRKX,GSTM3,CFLAR,TRPV4,TRIM16,GRHL3,NRTN,TIMELESS,KRT10,FGFR2,FBN2,GLI2,SOX2,FGFR3,GJB6,KRT4,NPPC,CSRP2,SEMA3F,GPC3,JAG2,KRT17,MACROH2A2,KRT6C,PLAAT4,KRT16,CEP152,GSC,APELA,ATP2C1,AKR1C1,GSK3B,ITGA6,HEY1,GPR161,VAX2,TFAP2A,KRT6B,EYA2,LMO4,KRT78,IL6ST,HDAC1,KRT14,CITED2,SEMA6D,TBX18,SPINK5,AIRE,SPRR1A,PLAAT3,VANGL2,AHDC1,WNT5A,TUFT1,ARHGAP12,UPK1B,TSKU,PTN,NRG1,INSM1,TXNIP,RIPK4,PDPN,GJA1,MSC,SPRR3,ALPK3,HDAC2,SOX11,TASOR,WNT2B,GRHL2,SFN,CEP63,SIX2,SGPP1,TP73,COL12A1,NFATC2,AKR1C3,STAT1,WDPCP,CLASP1,NRP1,ZDHHC21,NEB,HOXA7,WNT4,RTF1,ITGB8,NOTCH1,ACTN3,MYO6,PTER,PPP3CB,TCF15,FGFR1,EDAR,DLL1,FOXE1,WNT7B,YBX1,SH3BP1,AKIRIN1,LGALS3,POGLUT1,SEMA4G,AKNA,EPHA4,DSP,COL27A1"
query_1,TRUE,4.117140241973743e-10,697,956,92,0.09623430962343096,0.13199426111908177,GO:0060429,GO:BP,epithelium development,16178,15095,,"IMP ISS,IBA,IBA,IDA,ISS,ISS,NAS,IMP,IBA,IMP NAS,IDA,IMP,IDA ISS IBA,IBA,IDA,ISS,ISS,IDA,IBA,IDA,TAS,IBA,IDA,ISS,ISS,IEP IBA,ISS,IMP ISS,ISS IBA,ISS,ISS,ISS IBA,IMP,IBA,IMP,ISS IBA,ISS,ISS,IDA,TAS,ISS,ISS,ISS,IBA,ISS,IBA,IDA,ISS,IBA,ISS,ISS IBA,IDA TAS,ISS IBA,IDA,ISS,ISS IBA,IEP ISS,IMP,IDA,IDA,ISS,IDA,IMP,IMP ISS,IMP,NAS,ISS,ISS,IDA IMP ISS IBA,ISS,IBA,ISS,ISS,IMP,IEP,IMP ISS,NAS,IMP,ISS,ISS,IDA,IDA IEP,ISS,IBA,IEP,ISS,ISS,IEP ISS,IMP,IEP,IDA,IBA","CERS3,KRT13,KRT15,CSTA,IRF6,BMP7,RHCG,CLDN1,NRARP,NHERF1,FOXN1,FZD7,GDNF,DVL3,ZNF703,SMO,TP63,WNT3A,KRT5,PRKX,GSTM3,CFLAR,TRIM16,GRHL3,TIMELESS,KRT10,FGFR2,GLI2,KRT4,GPC3,JAG2,KRT17,MACROH2A2,KRT6C,PLAAT4,KRT16,CEP152,APELA,AKR1C1,GSK3B,HEY1,GPR161,TFAP2A,KRT6B,LMO4,KRT78,IL6ST,HDAC1,KRT14,CITED2,TBX18,SPINK5,AIRE,SPRR1A,PLAAT3,VANGL2,WNT5A,ARHGAP12,UPK1B,NRG1,INSM1,TXNIP,RIPK4,PDPN,GJA1,SPRR3,HDAC2,SOX11,GRHL2,SFN,CEP63,SIX2,SGPP1,TP73,AKR1C3,STAT1,WDPCP,CLASP1,NRP1,ZDHHC21,HOXA7,WNT4,NOTCH1,MYO6,PTER,DLL1,FOXE1,WNT7B,SH3BP1,LGALS3,DSP,COL27A1"
query_1,TRUE,1.976837782797108e-9,231,956,45,0.04707112970711297,0.19480519480519481,GO:0008544,GO:BP,epidermis development,16178,3228,,"IMP ISS,TAS,IDA,TAS,IMP,TAS,ISS,TAS,TAS,IBA TAS,IBA,IDA,ISS,IEP ISS IBA,ISS,IMP,IBA,ISS,ISS,IMP,IBA,IMP,ISS,IMP,IBA,IBA,ISS,TAS,IDA TAS,IDA TAS,IEP,IDA,NAS,ISS,IDA,ISS,ISS,IEP,IDA,IBA,TAS,ISS,ISS,ISS,IDA TAS","CERS3,KRT15,CSTA,BNC1,CLDN1,FOXN1,TP63,GJB5,FABP5,KRT5,CFLAR,TRIM16,GRHL3,KRT10,FGFR2,GLI2,KRT4,JAG2,KRT17,MACROH2A2,KRT6C,PLAAT4,KRT16,ATP2C1,KRT6B,KRT78,HDAC1,KRT14,SPINK5,SPRR1A,WNT5A,TXNIP,SPRR3,HDAC2,GRHL2,SFN,SGPP1,AKR1C3,HOXA7,MYO6,EDAR,DLL1,FOXE1,YBX1,DSP"
query_1,TRUE,1.6442337552923108e-8,453,956,66,0.06903765690376569,0.1456953642384106,GO:0030855,GO:BP,epithelial cell differentiation,16178,7175,,"IMP ISS,IBA,IBA,IDA,ISS,NAS,IMP,IDA,IMP,IDA,ISS,IBA,IDA,TAS,IBA,IDA,IEP IBA,ISS,ISS IBA,ISS,IBA,IMP,IBA,IMP,ISS IBA,ISS,IDA,TAS,ISS,IBA,IBA,IDA,ISS,IBA,IDA TAS,IDA,ISS,IEP,IDA,IDA,ISS,IDA,ISS,NAS,ISS,ISS,IDA IMP ISS,ISS,IBA,ISS,ISS,IMP,IEP,ISS,ISS,ISS,IDA,ISS,IBA,IEP,ISS,ISS,IMP,IEP,IDA,IBA","CERS3,KRT13,KRT15,CSTA,IRF6,RHCG,NHERF1,FOXN1,FZD7,ZNF703,SMO,KRT5,PRKX,GSTM3,CFLAR,TRIM16,KRT10,FGFR2,KRT4,JAG2,KRT17,MACROH2A2,KRT6C,PLAAT4,KRT16,CEP152,AKR1C1,GSK3B,HEY1,KRT6B,KRT78,IL6ST,HDAC1,KRT14,SPINK5,SPRR1A,PLAAT3,WNT5A,UPK1B,NRG1,INSM1,TXNIP,PDPN,SPRR3,HDAC2,SOX11,GRHL2,SFN,CEP63,SIX2,SGPP1,TP73,AKR1C3,STAT1,NRP1,ZDHHC21,HOXA7,NOTCH1,MYO6,PTER,DLL1,WNT7B,SH3BP1,LGALS3,DSP,COL27A1"
query_1,TRUE,9.611602549289301e-8,168,956,35,0.036610878661087864,0.20833333333333334,GO:0043588,GO:BP,skin development,16178,11149,,"IMP ISS,IDA,IMP,ISS,IBA,IBA,IDA,IEP,ISS,IMP,IBA,ISS,IMP,IBA,IMP,ISS,IMP,IBA,IBA,ISS,TAS,IDA,IDA,IEP,IDA,NAS,ISS,IDA,ISS,ISS,IEP,IDA,ISS,ISS,IDA IBA","CERS3,CSTA,CLDN1,TP63,KRT5,CFLAR,TRIM16,KRT10,FGFR2,GLI2,KRT4,KRT17,MACROH2A2,KRT6C,PLAAT4,KRT16,ITGA6,KRT6B,KRT78,HDAC1,SPINK5,SPRR1A,AHDC1,WNT5A,TXNIP,SPRR3,HDAC2,GRHL2,SFN,SGPP1,AKR1C3,HOXA7,DLL1,FOXE1,DSP"
query_1,TRUE,1.3953153422973505e-6,3336,956,274,0.28661087866108786,0.08213429256594725,GO:0048583,GO:BP,regulation of response to stimulus,16178,13279,,"NAS,ISS IBA,IDA ISS TAS,IDA IMP IBA,ISS,IMP,IMP IBA,IDA IMP ISS,IMP,TAS,IMP IC,ISS,IDA ISS,ISS IBA,IMP,IDA ISS,IDA,ISS NAS,IDA IMP IBA,IDA,IBA,IMP,IDA IMP IBA TAS,IDA IMP,IDA,IDA,IDA IBA,ISS,IBA,IMP IGI,IMP,TAS,IDA IMP IEP,IDA,ISS IBA TAS IC,IMP,IMP IBA,IDA IMP,IMP IBA,IBA,IMP,IDA IBA,ISS,IBA,IDA,IMP ISS,ISS,IDA IBA,ISS,IDA,IDA IMP,IMP IBA TAS,NAS,IDA IMP,IBA,IDA IBA,NAS,IDA,IDA IBA,IDA ISS IBA,ISS,TAS,IDA IMP,IDA ISS IBA,IC,IDA IBA,IDA IC,TAS,IDA IBA,IDA IBA,IDA,IDA,TAS,IMP IBA,IMP ISS,IDA,HMP,IDA,IMP,IDA IBA,TAS,TAS,IMP IGI ISS IBA TAS IC,IMP,IMP,IDA,IDA IBA,IDA,ISS IBA,ISS,IMP IEP ISS TAS,IDA,IMP IBA,IMP,ISS,IBA,ISS,EXP IMP ISS,IMP,IMP,IDA TAS IC,IDA IMP,IDA IMP IGI NAS,IMP ISS,IDA IMP,IMP IGI,IDA ISS,IBA,IDA,IDA,ISS,TAS,IMP,IMP,IDA,IMP,IMP ISS IBA,ISS IBA,NAS,IDA,IMP,IDA,IDA IMP IGI ISS NAS,IDA IMP IBA,IDA,IMP,ISS,ISS,IMP,IDA ISS IC,IDA,IMP TAS,IMP,IDA IMP,IDA,ISS,ISS,TAS,IDA IBA,IDA IMP,IDA,IMP,IDA IMP IBA,TAS,IDA,IBA TAS,TAS,HMP,IDA IBA,IMP IGI,TAS,IMP,IDA IBA,IMP IGI IBA,IDA IEP IBA,IMP IBA,IDA IMP IBA,IDA IMP IBA TAS NAS,IMP,IDA IMP IBA,IDA,IMP NAS,IDA IMP IBA,IBA,IEP ISS,TAS,IDA,IDA,TAS,ISS,IDA,IDA,IDA IBA,IDA,IBA,ISS,TAS,ISS TAS,ISS,IMP ISS TAS IC,HMP,IDA IMP IBA,IMP,IBA,IMP,IDA IEP IBA,IDA,IDA ISO NAS,NAS,IMP,IMP,IMP,IDA,IDA IMP IBA,IMP IGI,IMP IGI IBA,IDA IMP,IBA,ISS,IBA TAS,IMP,IMP,IMP ISS IBA TAS,IMP,ISS IBA,IDA,IBA TAS,ISS IBA,IBA TAS,IMP IBA TAS,IDA ISS,ISS,IDA ISS NAS IC,IMP IBA,IDA,IBA,IDA IBA,IPI IBA,IDA IMP IBA TAS NAS IC,IDA ISS,IDA,IBA,ISS IBA,NAS,IDA IBA TAS,IMP,ISS,IDA IMP IGI TAS,IBA,NAS,NAS,IMP,IMP,ISS IBA,IMP,ISS IBA TAS,IBA,IMP,TAS,IDA,IMP,IEP,IMP,IDA,IDA ISS,IDA IMP IBA,IBA,IDA IMP IBA,IDA ISS IBA,IMP,IDA IMP,IBA IC,IMP IBA TAS,ISS IBA,IDA IMP TAS,IDA ISS IBA IC,IBA,IDA ISS,IBA TAS,IDA IMP ISS IBA,IMP,IDA IMP ISS TAS,IMP IBA,IBA,IMP,ISS,IDA IBA,IBA,ISS,IDA TAS NAS,IDA IMP ISS,IBA,HMP,IBA","LAMA1,NTRK2,BMP7,DUSP6,P2RY1,CLDN1,NRARP,NHERF1,DLG1,ARHGEF4,FZD7,HAP1,GDNF,GPC1,DVL3,ZNF703,GRM4,KREMEN1,FAM83D,TP63,FRMD1,WNK2,KMT5A,HMSD,ADRA2B,WNT3A,DIPK2A,SOX15,PAK5,SIAH2,FZD10,ULK1,CFLAR,TRIM16,IGFBP2,CASK,BID,TIMELESS,GID8,ERMAP,DDX60,LGR5,POMC,RAET1L,EIF2B5,FGFR2,FBN2,IGF1R,ABCC1,SOX2,TFRC,FGFR3,SMARCD1,FAM83B,SEMA3F,SUSD4,BCL7A,EPHA7,AJUBA,GPC3,JAG2,FGD4,RNF168,IGF2,JUP,MRAP2,TLR3,RHOU,TPD52L1,TEC,MAP3K4,CD9,MMP3,PARPBP,APELA,MAGEF1,ATP2C1,CENPJ,SP100,BTN3A1,FGD1,ARHGEF19,GSK3B,ZNF385A,ITGA6,HEY1,TRIM22,DLK2,CD47,GPR161,CASP8,RYK,MAPKBP1,HERC4,KIF7,EYA2,YJEFN3,NFE2L2,ARL6IP5,ACKR3,IL6ST,POLQ,HDAC1,HSPB1,ERN1,MCL1,CITED2,SEMA6D,CNIH2,LANCL2,TBX18,SPINK5,SNX25,CD2AP,CDC42SE2,GEN1,CADM4,VWC2,DPF1,NECAB2,TSPYL5,CREBRF,WNT5A,LRP4,S100A8,ARHGAP12,CLCF1,TTC23,PLA2R1,SERPINE2,HRAS,VAV3,PARP14,BRD4,GPR183,TSKU,PTN,CHEK2,CCL26,NRG1,MBIP,TMEM14A,TAOK3,PLEKHG6,TARBP2,NUAK1,DOCK8,GJA1,SOSTDC1,OPA1,MAPK9,PRDM11,IGFBP5,CD177,TNFSF10,CASTOR2,ARRB1,TRAF6,CD38,MCC,DDAH1,HDAC2,KLHL22,HLA-DPA1,SOX11,FGD2,CASP4,NTF3,PLEKHG3,CARM1,MN1,PLA2G3,CCDC125,PRAME,CSNK1G1,SHISA6,MAPK10,DGKD,LRCH4,PRKCD,MIER1,TRIM5,POLR3B,LEPROTL1,OAS1,TRAF3IP2,CEP63,ACTL6A,H2AX,STX7,TTLL12,NFATC2,AKR1C3,LAMTOR4,STAT1,AMER1,RNF152,DUSP9,HDAC4,RGS6,CLASP1,CDKN2D,NRP1,SH3BP4,MAPKAPK3,WNT4,ARHGEF3,C17orf99,BANK1,ARHGAP18,NOTCH1,ACTN3,GSTP1,CRKL,TFPI,ULBP2,HLA-E,VSIG4,PTPN22,CD8A,FXR1,FRMD6,NXN,PPP3CB,CCL5,CNOT9,HMCES,FGFR1,EDAR,C8G,SENP2,FZD6,MID1,DLL1,GBP1,TRAF3,WNT7B,ZFYVE28,IL1A,WFIKKN1,ARRDC3,CEBPG,SLC39A8,PIAS4,UBE2B,CD226,CSNK1G2,WWC1,FEM1A,IFIT5,RNF185,IL15,SH3BP1,AKIRIN1,IRAK2,XCL1,NLRX1,SCIMP,RGS12,LGALS3,TBL1X,PTPRJ,POGLUT1,SEMA4G,FAM110C,NLGN2,PYHIN1,IQCJ-SCHIP1,AKNA,C1QA,EPHA4,DUSP8,NDFIP1,CTSV"
query_1,TRUE,7.150819048847808e-6,142,956,29,0.030334728033472803,0.20422535211267606,GO:0009913,GO:BP,epidermal cell differentiation,16178,3807,,"IMP ISS,IDA,IBA,IBA,IDA,IEP,IBA,ISS,IMP,IBA,IMP,ISS,IBA,IBA,ISS,IDA TAS,IDA,IEP,IDA,NAS,ISS,IDA,ISS,ISS,IEP,IDA,IBA,ISS,IDA","CERS3,CSTA,KRT5,CFLAR,TRIM16,KRT10,KRT4,JAG2,MACROH2A2,KRT6C,PLAAT4,KRT16,KRT6B,KRT78,HDAC1,SPINK5,SPRR1A,WNT5A,TXNIP,SPRR3,HDAC2,GRHL2,SFN,SGPP1,AKR1C3,HOXA7,MYO6,DLL1,DSP"
query_1,TRUE,1.5952021499159243e-5,2537,956,215,0.22489539748953974,0.0847457627118644,GO:0009966,GO:BP,regulation of signal transduction,16178,3842,,"NAS,ISS IBA,IDA ISS TAS,IDA IMP IBA,ISS,IMP IBA,IDA IMP ISS,IMP,TAS,IMP IC,ISS,IDA ISS,ISS IBA,IMP,IDA ISS,IDA,ISS NAS,IDA IMP IBA,IDA,IBA,IMP,IMP IBA TAS,IDA,IDA,IDA IBA,IBA,IMP IGI,IMP,TAS,IDA IMP IEP,IDA,ISS IBA TAS IC,IMP IBA,IMP IBA,IMP,IDA IBA,ISS,IMP ISS,ISS,IDA IBA,IDA,IMP,IMP IBA TAS,IDA IMP,IDA,IDA IBA,IDA ISS IBA,ISS,TAS,IDA ISS IBA,IC,IDA IBA,IDA,TAS,IDA IBA,IDA,IMP ISS,HMP,IDA,IMP,TAS,TAS,IMP IGI ISS IBA TAS IC,IMP,IMP,IDA,IDA IBA,IDA,ISS,ISS,IMP IEP TAS,IDA,IMP IBA,IMP,ISS,IBA,ISS,IMP,IMP,IMP,IDA,IDA IMP IGI NAS,ISS,IDA IMP,IMP IGI,IDA ISS,IDA,IDA,ISS,IMP,IMP,IDA,IMP,IMP ISS IBA,ISS IBA,IDA,IMP,IDA,IDA IMP IGI ISS,IDA IMP IBA,IDA,IMP,ISS,IMP,IDA,TAS,IMP,IDA IMP,IDA,ISS,TAS,IBA,IDA IMP,IDA,IMP,IDA IMP IBA,TAS,IDA,IBA TAS,TAS,HMP,IDA IBA,IMP IGI,IMP,IDA IBA,IMP IBA,IDA IEP IBA,IMP IBA,IDA IMP IBA,IDA IBA NAS,IDA IMP IBA,IMP NAS,IDA IMP IBA,IEP ISS,TAS,IDA,IDA,TAS,ISS,IDA,IDA IBA,IDA,IBA,ISS,ISS TAS,ISS,IMP ISS TAS,HMP,IDA IMP IBA,IBA,IMP,IEP IBA,IMP,IDA,IDA IMP IBA,IMP,IMP IGI IBA,IDA IMP,IBA,IBA TAS,IMP,IMP ISS IBA TAS,IMP,IDA,IBA TAS,IBA,IMP IBA TAS,IDA ISS,ISS,IDA ISS NAS IC,IMP IBA,IDA IMP IBA NAS,IBA,ISS IBA,NAS,IDA IBA TAS,IMP,IDA IMP IGI TAS,IBA,NAS,IMP,IMP,ISS IBA,IMP,IBA,IBA,IMP,TAS,IDA,IMP,IMP,IDA ISS,IDA IMP IBA,IBA,IDA IMP IBA,IMP,IDA,IMP IBA TAS,IMP,IBA,IBA,IDA ISS,IBA TAS,IDA IMP ISS IBA,IMP,IDA IMP ISS,IMP IBA,IMP,ISS,IDA,IBA,IDA,IBA,HMP,IBA","LAMA1,NTRK2,BMP7,DUSP6,P2RY1,NRARP,NHERF1,DLG1,ARHGEF4,FZD7,HAP1,GDNF,GPC1,DVL3,ZNF703,GRM4,KREMEN1,FAM83D,TP63,FRMD1,WNK2,KMT5A,ADRA2B,WNT3A,DIPK2A,PAK5,SIAH2,FZD10,ULK1,CFLAR,TRIM16,IGFBP2,BID,GID8,DDX60,LGR5,POMC,FGFR2,FBN2,IGF1R,SOX2,TFRC,FGFR3,FAM83B,EPHA7,AJUBA,GPC3,JAG2,FGD4,IGF2,JUP,MRAP2,TLR3,RHOU,TPD52L1,MAP3K4,APELA,ATP2C1,CENPJ,SP100,FGD1,ARHGEF19,GSK3B,ZNF385A,ITGA6,HEY1,TRIM22,DLK2,CD47,GPR161,CASP8,RYK,MAPKBP1,HERC4,KIF7,EYA2,YJEFN3,NFE2L2,ARL6IP5,ACKR3,IL6ST,HDAC1,HSPB1,ERN1,MCL1,CITED2,CNIH2,LANCL2,TBX18,SNX25,CD2AP,CDC42SE2,GEN1,CADM4,VWC2,NECAB2,TSPYL5,CREBRF,WNT5A,LRP4,S100A8,ARHGAP12,TTC23,PLA2R1,HRAS,VAV3,PARP14,BRD4,GPR183,TSKU,CHEK2,CCL26,NRG1,MBIP,TMEM14A,TAOK3,PLEKHG6,TARBP2,NUAK1,DOCK8,GJA1,SOSTDC1,OPA1,PRDM11,IGFBP5,CD177,TNFSF10,CASTOR2,ARRB1,TRAF6,MCC,HDAC2,KLHL22,SOX11,FGD2,CASP4,NTF3,PLEKHG3,CARM1,MN1,CCDC125,PRAME,CSNK1G1,SHISA6,DGKD,LRCH4,PRKCD,MIER1,TRIM5,LEPROTL1,OAS1,TRAF3IP2,TTLL12,AKR1C3,LAMTOR4,STAT1,AMER1,RNF152,DUSP9,RGS6,CDKN2D,NRP1,SH3BP4,WNT4,ARHGEF3,BANK1,ARHGAP18,NOTCH1,ACTN3,GSTP1,CRKL,PTPN22,FRMD6,NXN,PPP3CB,CCL5,CNOT9,FGFR1,EDAR,SENP2,FZD6,MID1,DLL1,GBP1,TRAF3,WNT7B,ZFYVE28,IL1A,WFIKKN1,ARRDC3,SLC39A8,UBE2B,CD226,CSNK1G2,WWC1,IFIT5,RNF185,SH3BP1,IRAK2,XCL1,NLRX1,SCIMP,RGS12,LGALS3,TBL1X,PTPRJ,POGLUT1,FAM110C,NLGN2,PYHIN1,IQCJ-SCHIP1,EPHA4,DUSP8,NDFIP1,CTSV"
query_1,TRUE,4.486775881478011e-5,1391,956,132,0.13807531380753138,0.09489575844716032,GO:0008283,GO:BP,cell population proliferation,16178,3185,,"ISS,IDA,IDA,TAS,IDA,TAS,IMP,IBA,IDA IMP,IDA,IMP,IDA,IDA,IDA,IMP,IMP ISS TAS,IDA IBA,ISS,TAS,IDA,IMP,ISS,IDA,IDA,IDA IMP,IMP,IDA IMP IGI ISS TAS,IMP TAS,IDA,IDA,IMP IGI TAS,ISS,ISS,NAS,IMP,ISS,NAS,ISS,IDA,IDA IBA IC,IDA,IDA,IMP,ISS,TAS,TAS,ISS,IMP,TAS,IDA,ISS,IMP,IDA IBA,ISS,IDA IMP IGI,IMP ISS,IDA IMP,IBA,IDA,IDA,IMP,IMP,IMP,IDA IMP,IDA IMP NAS,IDA,IDA ISS IBA,IDA IMP,IMP,IDA,IDA ISS TAS,IDA,IDA IMP,IDA ISS,ISS,TAS,IMP,IMP,IGI,IDA IGI,IBA,ISS,TAS,IMP IBA,IDA,IDA,IMP,IMP,IMP ISS,IMP,IDA,IDA,IMP,IDA,IDA,IMP,IDA ISS,NAS,IMP,IMP,IDA IMP,IMP ISS IBA,IMP,IDA IBA,TAS,IMP,IDA IMP ISS,ISS,IMP,IDA,IBA,IDA IBA,NAS,IDA,IDA IMP IGI,IDA,IMP IBA TAS,ISS,IMP,IEP,TAS,IDA IBA,IBA TAS,ISS IBA,TAS,IDA ISS,IMP,IDA,ISS IBA,IMP,IGI,ISS","NTRK2,IRF6,DLX5,ARTN,BMP7,BNC1,CLDN1,NRARP,NHERF1,DLG1,FZD7,GDNF,ZNF703,FAM83D,WNK2,WNT3A,DIPK2A,SOX15,PAK5,ULK1,PRKX,CFLAR,CNTNAP2,IGFBP2,CASK,GID8,FGFR2,IGF1R,SOX2,TFRC,FGFR3,KRT4,NPPC,SMARCD1,FAM83B,RARG,BCL7A,GPC3,JAG2,IGF2,JUP,P3H2,SDC4,PTPRZ1,TBC1D8,PLAAT4,APELA,BTN3A1,CDC25A,CD47,RYK,ASH2L,TFAP2A,YJEFN3,IL6ST,HDAC1,ERN1,TFAP2C,CITED2,IFIT3,PES1,CADM4,KCNH1,TSPYL5,WNT5A,ZBTB7C,CLCF1,HRAS,VAV3,GPR183,PTN,CCL26,NRG1,INSM1,PDPN,NUAK1,DOCK8,GJA1,TEAD3,IGFBP5,ALK,EML1,RBFOX2,CD38,MCC,DDAH1,HDAC2,HLA-DPA1,SOX11,CCND2,WNT2B,NTF3,GRHL2,MN1,PRAME,CTPS1,SIX2,ACTL6A,TP73,NFATC2,AKR1C3,STAT1,HDAC4,CDKN2D,NRP1,SH3BP4,NOTCH1,GSTP1,CRKL,HLA-E,VSIG4,PTPN22,PPP3CB,CCL5,FGFR1,RPS6KA2,TNFSF13B,DLL1,UBE2L3,WNT7B,CXCL1,IL1A,IL15,AKIRIN1,PRDX1,XCL1,LGALS3,PTPRJ,AKNA,CNOT8,EPHA4,RNF187"
