name,gene,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000223972,DDX11L1,0,0,0,0,0,0,1,0,0,0
ENSG00000227232,WASH7P,128,181,73,115,112,102,165,178,176,123
ENSG00000278267,MIR6859-1,69,94,33,60,46,51,53,84,46,55
ENSG00000243485,MIR1302-2HG,0,2,0,0,0,0,0,0,1,2
ENSG00000284332,MIR1302-2,0,0,0,0,0,0,0,0,0,0
ENSG00000237613,FAM138A,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,OR4G4P,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,OR4G11P,0,0,0,0,0,0,0,0,0,0
ENSG00000186092,OR4F5,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,ENSG00000238009,1,0,2,0,0,0,1,1,1,0
ENSG00000239945,ENSG00000239945,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,CICP27,9,2,15,4,13,9,17,18,19,28
ENSG00000268903,ENSG00000268903,257,236,164,169,262,115,357,402,333,598
ENSG00000269981,ENSG00000269981,376,237,145,173,183,191,516,541,462,887
ENSG00000239906,ENSG00000239906,7,10,13,6,7,16,20,3,11,24
ENSG00000241860,ENSG00000241860,25,31,4,27,18,57,51,54,65,104
ENSG00000222623,RNU6-1100P,0,0,0,0,1,1,1,0,1,0
ENSG00000241599,ENSG00000241599,0,0,0,0,1,0,0,0,0,0
ENSG00000279928,DDX11L17,8,1,0,0,2,15,4,20,6,9
ENSG00000279457,WASH9P,339,619,242,200,307,309,363,543,192,424
ENSG00000273874,MIR6859-2,0,0,0,1,0,0,1,0,0,0
ENSG00000228463,ENSG00000228463,16,48,9,19,21,10,26,11,22,32
ENSG00000236679,RPL23AP24,1,1,0,0,0,0,0,0,2,0
ENSG00000236601,ENSG00000236601,0,0,0,0,0,0,0,0,0,0
ENSG00000237094,ENSG00000237094,96,99,56,80,58,128,285,285,205,321
ENSG00000269732,WBP1LP7,0,0,0,0,0,0,0,0,0,0
ENSG00000284733,OR4F29,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,CICP7,0,0,0,0,0,0,0,0,0,0
ENSG00000250575,ENSG00000250575,0,1,0,6,1,14,9,1,8,10
ENSG00000278757,U6,2,0,0,0,1,1,0,0,1,4
