query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection
query_1,TRUE,0.04981948739068925,1,6,1,0.16666666666666666,1,CORUM:1982,CORUM,CACY homodimer  complex,3383,868,,CORUM,S100A6
query_1,TRUE,0.04981948739068925,1,6,1,0.16666666666666666,1,CORUM:2912,CORUM,PLC-gamma-2-SLP-76 complex,3383,1284,,CORUM,LCP2
query_1,TRUE,0.005004279098660789,2,29,2,0.06896551724137931,1,GO:0005986,GO:BP,sucrose biosynthetic process,16178,1874,,"IBA,IBA","FBP1,FBP2"
query_1,TRUE,0.029958892153566456,4,29,2,0.06896551724137931,0.5,GO:0005985,GO:BP,sucrose metabolic process,16178,1873,,"IBA,IBA","FBP1,FBP2"
query_1,TRUE,0.029958892153566456,4,29,2,0.06896551724137931,0.5,GO:0046351,GO:BP,disaccharide biosynthetic process,16178,12482,,"IBA,IBA","FBP1,FBP2"
query_1,TRUE,4.727721741093295e-6,3566,33,22,0.6666666666666666,0.0061693774537296695,GO:0031982,GO:CC,vesicle,16860,1228,,"HDA,HDA,HDA,HDA,TAS,HDA,HDA TAS,IDA HDA,ISS,HDA,HDA,IDA HDA TAS,HDA TAS,ISS,IDA,IDA TAS,HDA,HDA,HDA,TAS,IDA,HDA TAS","KRT18,KRT7,FBP1,KRT8,LPCAT1,FBP2,ALDH3B1,MUC1,OCIAD2,S100A6,SUSD2,NAPSA,PYGB,RUFY2,MRC1,TMEM30A,P2RX4,MUC5B,CPM,MGST1,MTOR,PTPRJ"
query_1,TRUE,6.494391026484799e-4,2108,33,15,0.45454545454545453,0.007115749525616698,GO:0070062,GO:CC,extracellular exosome,16860,2418,,"HDA,HDA,HDA,HDA,HDA,HDA,IDA HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA","KRT18,KRT7,FBP1,KRT8,FBP2,ALDH3B1,MUC1,S100A6,SUSD2,NAPSA,PYGB,P2RX4,MUC5B,CPM,PTPRJ"
query_1,TRUE,7.451655015059819e-4,2131,33,15,0.45454545454545453,0.0070389488503050214,GO:1903561,GO:CC,extracellular vesicle,16860,3690,,"HDA,HDA,HDA,HDA,HDA,HDA,IDA HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA","KRT18,KRT7,FBP1,KRT8,FBP2,ALDH3B1,MUC1,S100A6,SUSD2,NAPSA,PYGB,P2RX4,MUC5B,CPM,PTPRJ"
query_1,TRUE,7.49602869939767e-4,2132,33,15,0.45454545454545453,0.007035647279549718,GO:0043230,GO:CC,extracellular organelle,16860,1882,,"HDA,HDA,HDA,HDA,HDA,HDA,IDA HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA","KRT18,KRT7,FBP1,KRT8,FBP2,ALDH3B1,MUC1,S100A6,SUSD2,NAPSA,PYGB,P2RX4,MUC5B,CPM,PTPRJ"
query_1,TRUE,7.49602869939767e-4,2132,33,15,0.45454545454545453,0.007035647279549718,GO:0065010,GO:CC,extracellular membrane-bounded organelle,16860,2398,,"HDA,HDA,HDA,HDA,HDA,HDA,IDA HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA","KRT18,KRT7,FBP1,KRT8,FBP2,ALDH3B1,MUC1,S100A6,SUSD2,NAPSA,PYGB,P2RX4,MUC5B,CPM,PTPRJ"
query_1,TRUE,0.006015448462912644,653,33,8,0.24242424242424243,0.01225114854517611,GO:0000323,GO:CC,lytic vacuole,16860,53,,"TAS,ISS,IDA IBA,TAS,TAS,IDA HDA,TAS,IDA IMP HDA","LPCAT1,OCIAD2,NAPSA,PYGB,TMEM30A,P2RX4,MGST1,MTOR"
query_1,TRUE,0.006015448462912644,653,33,8,0.24242424242424243,0.01225114854517611,GO:0005764,GO:CC,lysosome,16860,332,,"TAS,ISS,IDA IBA,TAS,TAS,IDA HDA,TAS,IDA IMP HDA","LPCAT1,OCIAD2,NAPSA,PYGB,TMEM30A,P2RX4,MGST1,MTOR"
query_1,TRUE,0.012170226638427675,721,33,8,0.24242424242424243,0.011095700416088766,GO:0005773,GO:CC,vacuole,16860,340,,"TAS,ISS,IDA IBA,TAS,TAS,IDA HDA,TAS,IDA IMP HDA","LPCAT1,OCIAD2,NAPSA,PYGB,TMEM30A,P2RX4,MGST1,MTOR"
query_1,TRUE,0.014604402455524601,41,33,3,0.09090909090909091,0.07317073170731707,GO:0045095,GO:CC,keratin filament,16860,2126,,"IDA IPI IBA,IBA,IPI","KRT18,KRT7,KRT8"
query_1,TRUE,0.02527784678061075,3205,33,16,0.48484848484848486,0.0049921996879875195,GO:0005615,GO:CC,extracellular space,16860,232,,"HDA,HDA,HDA,HDA,HDA,HDA,IDA HDA,HDA,HDA,HDA IBA,IDA HDA IBA,HDA,HDA,HDA IBA,HDA IBA,HDA","KRT18,KRT7,FBP1,KRT8,FBP2,ALDH3B1,MUC1,GOLM1,S100A6,SUSD2,NAPSA,PYGB,P2RX4,MUC5B,CPM,PTPRJ"
query_1,TRUE,0.03924080312783244,57,33,3,0.09090909090909091,0.05263157894736842,GO:0035577,GO:CC,azurophil granule membrane,16860,1623,,"TAS,TAS,TAS","LPCAT1,TMEM30A,MGST1"
query_1,TRUE,0.04381071497005002,283,33,5,0.15151515151515152,0.0176678445229682,GO:0030667,GO:CC,secretory granule membrane,16860,955,,"TAS,TAS,TAS,TAS,TAS","LPCAT1,ALDH3B1,TMEM30A,MGST1,PTPRJ"
query_1,TRUE,0.04701677340817656,154,33,4,0.12121212121212122,0.025974025974025976,GO:0042582,GO:CC,azurophil granule,16860,1797,,"TAS,TAS,TAS,TAS","LPCAT1,PYGB,TMEM30A,MGST1"
query_1,TRUE,0.04701677340817656,154,33,4,0.12121212121212122,0.025974025974025976,GO:0005766,GO:CC,primary lysosome,16860,334,,"TAS,TAS,TAS,TAS","LPCAT1,PYGB,TMEM30A,MGST1"
query_1,TRUE,0.0011180216637243707,2,32,2,0.0625,1,GO:0042132,GO:MF,"fructose 1,6-bisphosphate 1-phosphatase activity",17314,5572,,"IDA IMP IBA,IBA","FBP1,FBP2"
query_1,TRUE,0.049848033052634765,10,32,2,0.0625,0.2,GO:0050308,GO:MF,sugar-phosphatase activity,17314,7576,,"IDA IMP IBA,IBA","FBP1,FBP2"
query_1,TRUE,0.02024529014032397,137,21,4,0.19047619047619047,0.029197080291970802,KEGG:04910,KEGG,Insulin signaling pathway,8484,367,,"KEGG,KEGG,KEGG,KEGG","FBP1,FBP2,PYGB,MTOR"
query_1,TRUE,0.03639353074624732,67,21,3,0.14285714285714285,0.04477611940298507,KEGG:00010,KEGG,Glycolysis / Gluconeogenesis,8484,2,,"KEGG,KEGG,KEGG","FBP1,FBP2,ALDH3B1"
