name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000007866,TEAD3,2522,2519.2,2.8,0.001,-9.7,2.7e-12,0,0,0,1735,2808,2274,2186,3593,2,4,3,3,2
ENSG00000103855,CD276,3689.4,3682.8,6.6,0.002,-9.1,1.3e-11,0,0,0,2729,4555,3489,5033,2608,5,7,6,5,10
ENSG00000049130,KITLG,1651,1648.4,2.6,0.002,-9.2,1.7e-11,0,0,0,1042,1414,2057,1802,1927,5,2,2,2,2
ENSG00000068078,FGFR3,4624.6,4619.2,5.4,0.001,-9.7,1.8e-11,0,0,0,3245,2913,6220,4877,5841,6,4,4,6,7
ENSG00000128641,MYO1B,3125,3084.4,40.6,0.013,-6.2,2.6e-11,0,0,0,2443,2931,3088,3830,3130,31,34,54,34,50
ENSG00000213853,EMP2,2687,2686.8,0.2,0,-12.9,3.4e-11,0,0,0,2739,1875,2240,3945,2635,1,0,0,0,0
ENSG00000162337,LRP5,2632.6,2549,83.6,0.033,-4.9,5.5e-11,0,0,0,2737,2599,2710,2585,2114,70,115,90,69,74
ENSG00000109472,CPE,1977.6,1975,2.6,0.001,-9.5,5.8e-11,0,0,0,2145,3128,1066,1921,1615,2,2,3,2,4
ENSG00000138162,TACC2,1860.6,1859.4,1.2,0.001,-10.3,6.6e-11,0,0,0,1913,1142,1713,2329,2200,2,0,1,2,1
ENSG00000050820,BCAR1,2824.6,2822.6,2,0.001,-10.2,9.8e-11,0,0,0,3340,2269,3082,2745,2677,0,1,2,5,2
ENSG00000006042,TMEM98,1494.8,1491,3.8,0.003,-8.6,1.2e-10,0,0,0,1663,2374,957,1348,1113,6,4,4,3,2
ENSG00000187498,COL4A1,18356.6,18354.8,1.8,0,-13.2,2.5e-10,0,0,0,17401,19695,30237,10100,14341,1,5,0,1,2
ENSG00000172380,GNG12,1988.6,1987.6,1,0.001,-10.7,2.5e-10,0,0,0,1938,2467,1699,2572,1262,2,0,1,2,0
ENSG00000100842,EFS,1915.8,1915,0.8,0.001,-10.9,2.6e-10,0,0,0,1196,1393,2303,2753,1930,0,1,1,2,0
ENSG00000149115,TNKS1BP1,7285.2,7011,274.2,0.039,-4.7,2.8e-10,0,0,0,6953,5431,8223,9642,4806,256,276,297,276,266
ENSG00000139263,LRIG3,1658.8,1658.4,0.4,0,-11.5,3e-10,0,0,0,1376,1775,1377,1446,2318,0,0,2,0,0
ENSG00000157214,STEAP2,1626.2,1625.8,0.4,0,-11.5,3.3e-10,0,0,0,1312,1816,1731,1447,1823,0,0,0,0,2
ENSG00000168938,PPIC,940.6,940,0.6,0.001,-10.2,3.5e-10,0,0,0,715,1398,726,842,1019,1,1,0,1,0
ENSG00000082074,FYB1,13526.2,1141,12385.2,10.851,3.4,3.8e-10,0,0,0,1174,1403,1192,1112,824,12155,12556,12196,12197,12822
ENSG00000175183,CSRP2,765.4,758.8,6.6,0.009,-6.8,3.9e-10,0,0,0,696,679,497,1088,834,8,8,4,6,7
ENSG00000104067,TJP1,1116.6,1116.2,0.4,0.001,-10.9,4.7e-10,0,0,0,842,818,1155,1774,992,1,0,0,1,0
ENSG00000092445,TYRO3,824,819,5,0.006,-7.4,4.8e-10,0,0,0,746,478,635,1062,1174,4,4,6,5,6
ENSG00000250722,SELENOP,1827,1810.8,16.2,0.009,-6.8,4.8e-10,0,0,0,2527,2262,1384,1506,1375,14,19,25,13,10
ENSG00000007384,RHBDF1,1429.6,1421.8,7.8,0.006,-7.5,4.8e-10,0,0,0,1777,1462,1031,1123,1716,5,12,12,6,4
ENSG00000167291,TBC1D16,2289,2088.8,200.2,0.096,-3.4,4.8e-10,0,0,0,2176,2423,2225,1883,1737,178,195,245,173,210
ENSG00000227155,DOCK8-AS2,958.2,44.4,913.8,20.517,4.4,5.1e-10,0,0,0,47,56,40,32,47,1123,872,849,910,815
ENSG00000137693,YAP1,2440,2439,1,0.001,-10.9,5.1e-10,0,0,0,2186,3121,2868,1210,2810,0,2,0,2,1
ENSG00000152661,GJA1,7589.4,7589.2,0.2,0,-14.4,5.2e-10,0,0,0,2721,7141,8669,13333,6082,0,1,0,0,0
ENSG00000115461,IGFBP5,26204.6,26204.2,0.4,0,-15.5,5.6e-10,0,0,0,18395,53601,18880,16622,23523,0,0,0,0,2
ENSG00000135604,STX11,3774,205.4,3568.6,17.376,4.1,5.7e-10,0,0,0,163,219,288,174,183,4190,2841,4001,3423,3388
ENSG00000163737,PF4,2481.6,1.8,2479.8,1257.895,10.3,6e-10,0,0,0,4,1,3,1,0,3339,2312,3180,2214,1354
ENSG00000167693,NXN,2329.2,2306,23.2,0.01,-6.6,6.1e-10,0,0,0,2150,3036,1760,2042,2542,31,36,22,15,12
ENSG00000100320,RBFOX2,848.6,846.4,2.2,0.003,-8.5,6.3e-10,0,0,0,536,621,945,986,1144,5,2,1,2,1
ENSG00000006210,CX3CL1,1693.6,1693.4,0.2,0,-12.2,7.5e-10,0,0,0,2342,1491,2215,1730,689,0,1,0,0,0
ENSG00000221955,SLC12A8,1474.2,1461.8,12.4,0.009,-6.9,7.8e-10,0,0,0,1035,1707,1888,1876,803,8,15,15,9,15
ENSG00000122863,CHST3,1092.6,1092,0.6,0.001,-10.4,8e-10,0,0,0,1033,1416,509,1120,1382,1,0,0,1,1
ENSG00000132793,LPIN3,2057.2,2040,17.2,0.008,-6.9,8.5e-10,0,0,0,1457,1326,2640,2404,2373,26,23,11,11,15
ENSG00000170745,KCNS3,1084.2,1084,0.2,0,-11.6,8.7e-10,0,0,0,529,841,1125,1258,1667,0,0,1,0,0
ENSG00000111816,FRK,996.4,994.2,2.2,0.002,-8.7,9.6e-10,0,0,0,529,833,728,1257,1624,2,2,1,2,4
ENSG00000197905,TEAD4,434.8,434.6,0.2,0.001,-10.3,1e-9,0,0,0,378,365,483,573,374,0,0,1,0,0
ENSG00000072682,P4HA2,1377.6,1346.4,31.2,0.023,-5.4,1.1e-9,0,0,0,1104,1687,1077,1738,1126,42,40,28,20,26
ENSG00000146648,EGFR,5184.2,5183.8,0.4,0,-13.1,1.2e-9,0,0,0,3728,3497,2815,8644,7235,0,2,0,0,0
ENSG00000143333,RGS16,1659,1620,39,0.024,-5.4,1.2e-9,0,0,0,1747,2551,1538,1186,1078,42,37,49,35,32
ENSG00000162407,PLPP3,1878.6,1866.6,12,0.006,-7.3,1.2e-9,0,0,0,2135,2470,1320,1987,1421,7,10,9,9,25
ENSG00000099998,GGT5,1654,1647.8,6.2,0.004,-8.1,1.2e-9,0,0,0,2166,2066,2084,833,1090,9,4,5,4,9
ENSG00000188706,ZDHHC9,1868.2,1726,142.2,0.082,-3.6,1.2e-9,0,0,0,1422,1512,2393,1860,1443,159,138,126,151,137
ENSG00000114738,MAPKAPK3,6908,1048.2,5859.8,5.59,2.5,1.3e-9,0,0,0,1238,1060,969,902,1072,5892,5715,5872,5409,6411
ENSG00000114698,PLSCR4,713.2,708.6,4.6,0.007,-7.3,1.3e-9,0,0,0,886,949,571,722,415,5,7,2,4,5
ENSG00000163736,PPBP,4745.8,4,4741.8,1146.17,10.2,1.3e-9,0,0,0,9,1,4,1,5,6072,6240,5168,3423,2806
ENSG00000164684,ZNF704,892.8,880.6,12.2,0.014,-6.1,1.4e-9,0,0,0,963,964,916,695,865,12,5,19,13,12
ENSG00000039560,RAI14,3798,3789.6,8.4,0.002,-8.8,1.4e-9,0,0,0,3304,4232,3590,4920,2902,12,11,15,2,2
ENSG00000115884,SDC1,17777.2,17771.4,5.8,0,-11.5,1.5e-9,0,0,0,10140,13881,27830,28857,8149,2,8,10,7,2
ENSG00000134871,COL4A2,19871.6,19864,7.6,0,-11.3,1.5e-9,0,0,0,22754,23324,29403,10892,12947,17,7,10,2,2
ENSG00000084636,COL16A1,8883.8,8882.2,1.6,0,-12.2,1.6e-9,0,0,0,13301,11357,5967,9907,3879,2,2,0,4,0
ENSG00000106538,RARRES2,4346.4,4342.2,4.2,0.001,-10,1.6e-9,0,0,0,7155,6328,4015,2229,1984,5,7,3,2,4
ENSG00000171227,TMEM37,755.2,754,1.2,0.002,-9,1.6e-9,0,0,0,1034,436,1037,909,354,1,1,1,1,2
ENSG00000109089,CDR2L,774.4,764.6,9.8,0.013,-6.3,1.7e-9,0,0,0,775,1001,778,493,776,7,10,16,5,11
ENSG00000050405,LIMA1,5227.8,4987.8,240,0.048,-4.4,1.8e-9,0,0,0,5803,4564,4157,5874,4541,212,280,227,336,145
ENSG00000104415,CCN4,1394,1392.2,1.8,0.001,-9.5,1.9e-9,0,0,0,1214,1899,1469,1328,1051,6,1,1,1,0
ENSG00000066629,EML1,917.8,917.4,0.4,0.001,-10.7,1.9e-9,0,0,0,414,857,932,1042,1342,1,0,0,1,0
ENSG00000120549,KIAA1217,4085,4081.2,3.8,0.001,-10.1,1.9e-9,0,0,0,2245,5880,2998,5500,3783,5,10,1,1,2
ENSG00000204420,MPIG6B,283.8,0.8,283,262.193,8,1.9e-9,0,0,0,1,0,1,1,1,342,435,252,209,177
ENSG00000112769,LAMA4,4528.2,4528,0.2,0,-13.7,2e-9,0,0,0,7209,7223,3929,1622,2657,0,1,0,0,0
ENSG00000168542,COL3A1,160324.2,160323.2,1,0,-17,2.1e-9,0,0,0,179495,349577,127183,75057,70304,0,2,3,0,0
ENSG00000183853,KIRREL1,2679.8,2678.4,1.4,0.001,-10.8,2.2e-9,0,0,0,4236,3850,2157,2075,1074,0,1,1,1,4
ENSG00000173320,STOX2,463.6,462.4,1.2,0.003,-8.3,2.6e-9,0,0,0,475,434,474,554,375,1,1,0,3,1
ENSG00000088367,EPB41L1,1790,1782.2,7.8,0.004,-7.8,2.6e-9,0,0,0,1773,1314,1678,2233,1913,18,7,7,2,5
ENSG00000179403,VWA1,2930.8,2930.6,0.2,0,-13,2.6e-9,1e-4,0,0,4712,2196,4890,1205,1650,0,0,1,0,0
ENSG00000136237,RAPGEF5,1684.4,1674.8,9.6,0.006,-7.4,2.8e-9,1e-4,0,0,1367,1164,1751,2463,1629,7,8,21,7,5
ENSG00000065361,ERBB3,2085.2,2075.8,9.4,0.005,-7.8,2.8e-9,1e-4,0,0,1842,1050,2401,1450,3636,5,12,13,6,11
ENSG00000075391,RASAL2,1228,1143,85,0.074,-3.7,2.9e-9,1e-4,0,0,1145,1332,893,1349,996,89,102,61,73,100
ENSG00000169704,GP9,609.2,0.2,609,1946.772,10.9,2.9e-9,1e-4,0,0,0,0,0,0,1,673,863,730,425,354
