name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A113,A115,A116,A133,A134,A140,A144,A152,A114,A117,A118,A120,A136,A137,A139,A141,A142,A143,A146,A147,A148,A153
ENSG00000154227,CERS3,810.6,806.5,4.1,0.005,-7.6,1.5e-11,0,0,0,243,413,1115,154,157,439,2762,1169,2,1,1,5,3,4,1,16,0,4,9,5,2,4
ENSG00000187054,TMPRSS11A,598.6,597.6,1,0.002,-8.8,1.8e-11,0,0,0,312,1525,272,553,139,20,1810,150,1,3,1,2,3,0,0,1,0,0,3,0,0,0
ENSG00000113430,IRX4,803.9,802.5,1.4,0.002,-9.2,3.7e-10,0,0,0,1411,1016,73,30,768,140,2960,22,0,2,3,0,0,3,1,3,2,0,0,0,2,4
ENSG00000101680,LAMA1,1743.3,1602.8,140.6,0.088,-3.5,6.1e-10,0,0,0,568,2088,2592,408,865,1831,1215,3255,150,215,298,41,150,108,88,176,183,98,71,92,166,132
ENSG00000171401,KRT13,4920.9,4891.5,29.4,0.006,-7.4,9.7e-10,0,0,0,424,15535,272,12244,2195,749,5403,2310,20,16,5,20,15,145,60,37,28,19,1,16,11,18
ENSG00000125998,FAM83C,466,463.5,2.5,0.005,-7.5,1.4e-9,0,0,0,570,939,130,184,149,694,817,225,2,3,1,1,1,0,0,24,0,0,1,2,0,0
ENSG00000180739,S1PR5,659,618.2,40.7,0.066,-3.9,1.5e-9,0,0,0,547,1002,848,113,148,1372,638,278,49,55,27,20,42,67,7,49,68,21,56,48,32,29
ENSG00000163331,DAPL1,1232.4,1224,8.4,0.007,-7.2,5.2e-9,1e-4,0,0,6,1790,262,593,62,939,1771,4369,3,16,6,5,2,16,1,13,10,7,31,6,0,2
ENSG00000223573,TINCR,493,452.5,40.5,0.09,-3.5,8e-9,2e-4,0,0,325,542,47,419,170,667,914,536,73,35,28,17,45,38,32,41,26,43,55,35,9,90
ENSG00000256812,CAPNS2,493.9,486.4,7.5,0.015,-6,9.1e-9,2e-4,0,0,458,1307,19,71,71,709,155,1101,4,3,5,2,7,1,4,5,5,3,43,10,9,4
ENSG00000165194,PCDH19,832.1,801.1,31,0.039,-4.7,9.4e-9,2e-4,0,0,701,359,1075,77,2024,786,164,1223,30,50,17,16,16,63,29,20,33,7,119,16,11,7
ENSG00000178363,CALML3,5821.5,5805.4,16.1,0.003,-8.5,1.7e-8,4e-4,0,0,1891,22095,5023,1256,779,4113,11261,25,8,14,5,22,3,0,0,1,0,135,4,14,2,18
